Reviewer1;key;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
Y;books/daglib/p/Wrembel11;On Handling the Evolution of External Data Sources in a Data Warehouse Architecture.;Robert Wrembel;2011;Integrations of Data Warehousing, Data Mining and Database Technologies;Parts in Books or Collections;https://dblp.org/rec/books/daglib/p/Wrembel11;https://doi.org/10.4018/978-1-60960-537-7.ch006;106-147;;;;;10.4018/978-1-60960-537-7.CH006
N;books/sp/bellahsene2011/FaginKPT11;Schema Mapping Evolution Through Composition and Inversion.;Ronald Fagin, Phokion G. Kolaitis, Lucian Popa , Wang Chiew Tan;2011;Schema Matching and Mapping;Parts in Books or Collections;https://dblp.org/rec/books/sp/bellahsene2011/FaginKPT11;https://doi.org/10.1007/978-3-642-16518-4_7;191-222;;;;;10.1007/978-3-642-16518-4_7
Y;books/sp/bellahsene2011/HartungTR11;Recent Advances in Schema and Ontology Evolution.;Michael Hartung, James F. Terwilliger, Erhard Rahm;2011;Schema Matching and Mapping;Parts in Books or Collections;https://dblp.org/rec/books/sp/bellahsene2011/HartungTR11;https://doi.org/10.1007/978-3-642-16518-4_6;149-190;;;;;10.1007/978-3-642-16518-4_6
N;conf/adms/FeherLC22;An Adaptive Column Compression Family for Self-Driving Databases.;Marcell Fehér, Daniel E. Lucani, Ioannis Chatzigeorgiou;2022;ADMS@VLDB;Conference and Workshop Papers;https://dblp.org/rec/conf/adms/FeherLC22;http://www.adms-conf.org/2022-camera-ready/ADMS22_feher.pdf;47-57;;;;;
N;conf/amia/GourabEBR12;Training Tool for Prospective Clinical Thinking Using a Continuously Updated Customizable Digital Database of Associations.;Krishnaj Gourab, Chad Ermis, Bret Burlingame, Justin Riutta;2012;AMIA;Conference and Workshop Papers;https://dblp.org/rec/conf/amia/GourabEBR12;https://knowledge.amia.org/amia-55142-a2012a-1.636547/t-007-1.639272/f-001-1.639273/a-363-1.640113/a-364-1.640110;;;;;;
N;conf/amia/LeeHTRWHH14;A Case Study on Integrating a Genealogy Database into a Consumer-Facing Family Health History Tool.;Jaehoon Lee , Nathan C. Hulse, David P. Taylor, Pallavi Ranade-Kharkar, Grant M. Wood, Peter J. Haug, Stanley M. Huff;2014;AMIA;Conference and Workshop Papers;https://dblp.org/rec/conf/amia/LeeHTRWHH14;https://knowledge.amia.org/56638-amia-1.1540970/t-005-1.1543914/f-005-1.1543915/a-413-1.1544432/a-414-1.1544429;;;;;;
Y;conf/apnoms/ChenJHL12;Design and implementation of database schema evolution for service continuity of web-based internet applications.;Yi-Chang Chen, Jeu-Yih Jeng, Teh-Sheng Huang, Phone Lin;2012;APNOMS;Conference and Workshop Papers;https://dblp.org/rec/conf/apnoms/ChenJHL12;https://doi.org/10.1109/APNOMS.2012.6356090;1-Απρ;;;;;10.1109/APNOMS.2012.6356090
N;conf/astroinf/MazzarellaT16;Evolution of the NASA/IPAC Extragalactic Database (NED) into a Data Mining Discovery Engine.;Joseph M. Mazzarella, The Ned Team;2016;Astroinformatics;Conference and Workshop Papers;https://dblp.org/rec/conf/astroinf/MazzarellaT16;https://doi.org/10.1017/S1743921316013132;379-384;;;;;10.1017/S1743921316013132
N;conf/bibm/Falco11;A Differential Evolution-Based System Supporting Medical Diagnosis through Automatic Knowledge Extraction from Databases.;Ivanoe De Falco;2011;BIBM;Conference and Workshop Papers;https://dblp.org/rec/conf/bibm/Falco11;https://doi.org/10.1109/BIBM.2011.63;321-326;;;;;10.1109/BIBM.2011.63
N;conf/birthday/Albanese18;From Cyber Situational Awareness to Adaptive Cyber Defense: Leveling the Cyber Playing Field.;Massimiliano Albanese;2018;From Database to Cyber Security;Conference and Workshop Papers;https://dblp.org/rec/conf/birthday/Albanese18;https://doi.org/10.1007/978-3-030-04834-1_1;Ιαν-23;;;;;10.1007/978-3-030-04834-1_1
N;conf/cartocon/Zentai14;The Evolution of Digital Cartographic Databases (State Topographic Maps) from the Beginnings to Cartography 2.0: The Hungarian Experience.;László Zentai;2014;CARTOCON;Conference and Workshop Papers;https://dblp.org/rec/conf/cartocon/Zentai14;https://doi.org/10.1007/978-3-319-07926-4_7;81-92;;;;;10.1007/978-3-319-07926-4_7
N;conf/cec/MitavskiyH13;Combining drift analysis and generalized schema theory to design efficient hybrid and/or mixed strategy EAs.;Boris Mitavskiy, Jun He;2013;IEEE Congress on Evolutionary Computation;Conference and Workshop Papers;https://dblp.org/rec/conf/cec/MitavskiyH13;https://doi.org/10.1109/CEC.2013.6557808;2028-2036;;;;;10.1109/CEC.2013.6557808
