key;EID;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
journals/isci/ChenLML24;2-s2.0-85176266917;AFC: An adaptive lossless floating-point compression algorithm in time series database.;Haoyuan Chen, Liang Liu , Jingwen Meng, Wanying Lu;2024;Inf. Sci.;Journal Articles;https://dblp.org/rec/journals/isci/ChenLML24;https://doi.org/10.1016/j.ins.2023.119847;119847;654;;;;10.1016/J.INS.2023.119847
journals/isci/SongWWPL17;2-s2.0-84978832006;Tell me the truth: Practically public authentication for outsourced databases with multi-user modification.;Wei Song , Bing Wang , Qian Wang , Zhiyong Peng , Wenjing Lou;2017;Inf. Sci.;Journal Articles;https://dblp.org/rec/journals/isci/SongWWPL17;https://doi.org/10.1016/j.ins.2016.07.031;221-237;387;;;;10.1016/J.INS.2016.07.031
journals/isci/WangWMY19;2-s2.0-85062806747;Cryptanalysis of a public authentication protocol for outsourced databases with multi-user modification.;Xu An Wang , Jian Weng , Jianfeng Ma , Xiaoyuan Yang;2019;Inf. Sci.;Journal Articles;https://dblp.org/rec/journals/isci/WangWMY19;https://doi.org/10.1016/j.ins.2019.03.002;13-18;488;;;;10.1016/J.INS.2019.03.002
journals/isf/HerrmannVRBL18;2-s2.0-85010756258;Robust and simple database evolution.;Kai Herrmann , Hannes Voigt, Jonas Rausch, Andreas Behrend, Wolfgang Lehner;2018;Inf. Syst. Frontiers;Journal Articles;https://dblp.org/rec/journals/isf/HerrmannVRBL18;https://doi.org/10.1007/s10796-016-9730-2;45-61;20;1;;;10.1007/S10796-016-9730-2
journals/isf/PanigrahiSM13;2-s2.0-84874940746;Two-stage database intrusion detection by combining multiple evidence and belief update.;Suvasini Panigrahi, Shamik Sural, Arun K. Majumdar;2013;Inf. Syst. Frontiers;Journal Articles;https://dblp.org/rec/journals/isf/PanigrahiSM13;https://doi.org/10.1007/s10796-010-9252-2;35-53;15;1;;;10.1007/S10796-010-9252-2
journals/isi/WangZ19;2-s2.0-85072774683;A Quadtree Spatial Index Method with Inclusion Relations and Its Application in Landcover Database Update.;Hongsong Wang, Jiangyan Zhu;2019;Ingénierie des Systèmes d Inf.;Journal Articles;https://dblp.org/rec/journals/isi/WangZ19;https://doi.org/10.18280/isi.240303;241-247;24;3;;;10.18280/ISI.240303
journals/isr/MenonGS22;2-s2.0-85134711975;Modifying Transactional Databases to Hide Sensitive Association Rules.;Syam Menon, Abhijeet Ghoshal, Sumit Sarkar;2022;Inf. Syst. Res.;Journal Articles;https://dblp.org/rec/journals/isr/MenonGS22;https://doi.org/10.1287/isre.2021.1033;152-178;33;1;;;10.1287/ISRE.2021.1033
journals/isse/MarksS13;2-s2.0-84881548251;A metadata driven approach to performing complex heterogeneous database schema migrations.;Robert M. Marks, Roy Sterritt;2013;Innov. Syst. Softw. Eng.;Journal Articles;https://dblp.org/rec/journals/isse/MarksS13;https://doi.org/10.1007/s11334-013-0217-8;179-190;9;3;;;10.1007/S11334-013-0217-8
journals/jaciii/ShimadaH15;2-s2.0-84954327790;An Evolutionary Method for Associative Contrast Rule Mining from Incomplete Database.;Kaoru Shimada, Takashi Hanioka;2015;J. Adv. Comput. Intell. Intell. Informatics;Journal Articles;https://dblp.org/rec/journals/jaciii/ShimadaH15;https://doi.org/10.20965/jaciii.2015.p0766;766-777;19;6;;;10.20965/JACIII.2015.P0766
journals/jaihc/SathyavaniS21;2-s2.0-85079128576;An improved memory adaptive up-growth to mine high utility itemsets from large transaction databases.;;2021;J. Ambient Intell. Humaniz. Comput.;Withdrawn Items;https://dblp.org/rec/journals/jaihc/SathyavaniS21;https://doi.org/10.1007/s12652-020-01706-8;3841-3850;12;3;;;10.1007/S12652-020-01706-8
journals/jaihc/ZhangCLTM19;2-s2.0-85049586344;HVDB: a hierarchical verifiable database scheme with scalable updates.;Zhiwei Zhang , Xiaofeng Chen , Jin Li , Xiaoling Tao, Jianfeng Ma;2019;J. Ambient Intell. Humaniz. Comput.;Journal Articles;https://dblp.org/rec/journals/jaihc/ZhangCLTM19;https://doi.org/10.1007/s12652-018-0757-8;3045-3057;10;8;;;10.1007/S12652-018-0757-8
journals/jbcb/PrasathVP20;2-s2.0-85084625935;PDB-2-PBv3.0: An updated protein block database.;Karuppasamy Muthuvel Prasath, Suresh Venkateswaran, Subbiah Parthasarathy;2020;J. Bioinform. Comput. Biol.;Journal Articles;https://dblp.org/rec/journals/jbcb/PrasathVP20;https://doi.org/10.1142/S0219720020500092;2050009:1-2050009:11;18;2;;;10.1142/S0219720020500092
journals/jbcs/LimaPRMSLO17;2-s2.0-85024853523;The collaboration network of the Brazilian Symposium on Databases - 30 editions of history.;Lucas Henrique C. Lima, Gustavo Penha, Laís Mota de Alencar Rocha, Mirella M. Moro, Ana Paula Couto da Silva, Alberto H. F. Laender, José Palazzo M. de Oliveira;2017;J. Braz. Comput. Soc.;Journal Articles;https://dblp.org/rec/journals/jbcs/LimaPRMSLO17;https://doi.org/10.1186/s13173-017-0059-6;10:1-10:16;23;1;;;10.1186/S13173-017-0059-6
journals/jbd/ForresiFGG25;2-s2.0-105014810480;Self-adaptive analytical querying over schemaless data streams.;Chiara Forresi, Matteo Francia, Enrico Gallinucci, Matteo Golfarelli;2025;J. Big Data;Journal Articles;https://dblp.org/rec/journals/jbd/ForresiFGG25;https://doi.org/10.1186/s40537-025-01251-1;211;12;1;;;10.1186/S40537-025-01251-1
journals/jbi/KastrinH19;2-s2.0-85058035679;Disentangling the evolution of MEDLINE bibliographic database: A complex network perspective.;Andrej Kastrin, Dimitar Hristovski;2019;J. Biomed. Informatics;Journal Articles;https://dblp.org/rec/journals/jbi/KastrinH19;https://doi.org/10.1016/j.jbi.2018.11.014;101-113;89;;;;10.1016/J.JBI.2018.11.014
journals/jcb/MierA16;2-s2.0-84964291972;FastaHerder2: Four Ways to Research Protein Function and Evolution with Clustering and Clustered Databases.;Pablo Mier, Miguel A. Andrade-Navarro;2016;J. Comput. Biol.;Journal Articles;https://dblp.org/rec/journals/jcb/MierA16;https://doi.org/10.1089/cmb.2015.0191;270-278;23;4;;;10.1089/CMB.2015.0191
journals/jcheminf/SoodVH19;2-s2.0-85067275393;DNAmod: the DNA modification database.;Ankur Jai Sood, Coby Viner, Michael M. Hoffman;2019;J. Cheminformatics;Journal Articles;https://dblp.org/rec/journals/jcheminf/SoodVH19;https://doi.org/10.1186/s13321-019-0349-4;30:1-30:10;11;1;;;10.1186/S13321-019-0349-4
journals/jcheminf/Willett24;2-s2.0-85208645003;Searching chemical databases in the pre-history of cheminformatics.;Peter Willett;2024;J. Cheminformatics;Journal Articles;https://dblp.org/rec/journals/jcheminf/Willett24;https://doi.org/10.1186/s13321-024-00919-9;120;16;1;;;10.1186/S13321-024-00919-9
journals/jcisd/GomezGarciaJZBCVABOSNPS24;2-s2.0-85208751281;Latin American Natural Product Database (LANaPDB): An Update.;Alejandro Gómez-García, Daniel A. Acuña Jiménez, William J. Zamora, Haruna L. Barazorda-Ccahuana, Miguel Á. Chávez-Fumagalli, Marilia Valli, Adriano D. Andricopulo, Vanderlan da S. Bolzani, Dionisio A Olmedo, Pablo N. Solís, Marvin J. Núñez, Johny R. Rodríguez Pérez, Hoover A. Valencia Sánchez, Héctor F. Cortés Hernández, Oscar M. Mosquera Martinez, José L. Medina-Franco;2024;J. Chem. Inf. Model.;Journal Articles;https://dblp.org/rec/journals/jcisd/GomezGarciaJZBCVABOSNPS24;https://doi.org/10.1021/acs.jcim.4c01560;8495-8509;64;22;;;10.1021/ACS.JCIM.4C01560
journals/jcisd/SteinbauerLR24;2-s2.0-85209948622;"Exploring the Potential of Adaptive, Local Machine Learning in Comparison to the Prediction Performance of Global Models: A Case Study from Bayer&apos;s Caco-2 Permeability Database.";Frank Filip Steinbauer, Thorsten Lehr, Andreas Reichel;2024;J. Chem. Inf. Model.;Journal Articles;https://dblp.org/rec/journals/jcisd/SteinbauerLR24;https://doi.org/10.1021/acs.jcim.4c01083;9163-9172;64;24;;;10.1021/ACS.JCIM.4C01083
journals/jcloudc/EllisonCP18;2-s2.0-85044191490;Evaluating cloud database migration options using workload models.;Martyn Ellison, Radu Calinescu, Richard F. Paige;2018;J. Cloud Comput.;Journal Articles;https://dblp.org/rec/journals/jcloudc/EllisonCP18;https://doi.org/10.1186/s13677-018-0108-5;6;7;;;;10.1186/S13677-018-0108-5
journals/jcloudc/PippalK13;2-s2.0-84926427504;A simple, adaptable and efficient heterogeneous multi-tenant database architecture for ad hoc cloud.;Sanjeev Kumar Pippal, Dharmender Singh Kushwaha;2013;J. Cloud Comput.;Journal Articles;https://dblp.org/rec/journals/jcloudc/PippalK13;https://doi.org/10.1186/2192-113X-2-5;5;2;;;;10.1186/2192-113X-2-5
journals/jcn/Tosun14;2-s2.0-84907195236;Distributed database design using evolutionary algorithms.;Umut Tosun;2014;J. Commun. Networks;Journal Articles;https://dblp.org/rec/journals/jcn/Tosun14;https://doi.org/10.1109/JCN.2014.000073;430-435;16;4;;;10.1109/JCN.2014.000073
journals/jcsm/HuangS24;2-s2.0-85180268403;Update Algorithm of Secure Computer Database Based on Deep Belief Network.;Liusuo Huang, Yan Song;2024;J. Cyber Secur. Mobil.;Journal Articles;https://dblp.org/rec/journals/jcsm/HuangS24;https://doi.org/10.13052/jcsm2245-1439.1311;Ιαν-26;13;1;;;10.13052/JCSM2245-1439.1311
journals/jcst/Wong16;2-s2.0-84961143889;Answering Reachability Queries on Incrementally Updated Graphs by Hierarchical Labeling Schema.;Tak-Lam Wong;2016;J. Comput. Sci. Technol.;Journal Articles;https://dblp.org/rec/journals/jcst/Wong16;https://doi.org/10.1007/s11390-016-1633-7;381-399;31;2;;;10.1007/S11390-016-1633-7
journals/jd/Lerski22;2-s2.0-85122755983;A call for the library community to deploy best practices toward a database for biocultural knowledge relating to climate change.;Martha B. Lerski;2022;J. Documentation;Journal Articles;https://dblp.org/rec/journals/jd/Lerski22;https://doi.org/10.1108/JD-07-2021-0135;1164-1183;78;5;;;10.1108/JD-07-2021-0135
journals/jd/LiS18;2-s2.0-85035201702;Provenance description of metadata application profiles for long-term maintenance of metadata schemas.;Chunqiu Li, Shigeo Sugimoto;2018;J. Documentation;Journal Articles;https://dblp.org/rec/journals/jd/LiS18;https://doi.org/10.1108/JD-03-2017-0042;36-61;74;1;;;10.1108/JD-03-2017-0042
journals/jdm/KimLKC22;2-s2.0-85186768363;HyTM-AP Hybrid Transactional Memory Scheme Using Abort Prediction and Adaptive Retry Policy for Multi-Core In-Memory Databases.;Hyeong-Jin Kim, Hyunjo Lee, Yong-Ki Kim , Jae-Woo Chang;2022;J. Database Manag.;Journal Articles;https://dblp.org/rec/journals/jdm/KimLKC22;https://doi.org/10.4018/jdm.299555;Ιαν-22;33;1;;;10.4018/JDM.299555
journals/jdm/LiuTC13a;2-s2.0-84887481105;Aiding Maintenance of Database Applications Through Extracting Attribute Dependency Graph.;Kaiping Liu, Hee Beng Kuan Tan, Xu Chen;2013;J. Database Manag.;Journal Articles;https://dblp.org/rec/journals/jdm/LiuTC13a;https://doi.org/10.4018/jdm.2013010102;20-35;24;1;;;10.4018/JDM.2013010102
journals/jdwm/AhmedZVW21;2-s2.0-85117043359;Schema Evolution in Multiversion Data Warehouses.;Waqas Ahmed , Esteban Zimányi, Alejandro A. Vaisman, Robert Wrembel;2021;Int. J. Data Warehous. Min.;Journal Articles;https://dblp.org/rec/journals/jdwm/AhmedZVW21;https://doi.org/10.4018/ijdwm.2021100101;Ιαν-28;17;4;;;10.4018/IJDWM.2021100101
journals/jei/GuanY21;2-s2.0-85118809877;Synthetic region screening and adaptive feature fusion for constructing a flexible object detection database.;Licong Guan, Xue Yuan;2021;J. Electronic Imaging;Journal Articles;https://dblp.org/rec/journals/jei/GuanY21;https://doi.org/10.1117/1.jei.30.5.053027;;30;5;;;10.1117/1.JEI.30.5.053027
journals/jfi/Treesatayapun20;2-s2.0-85081928374;Discrete-time adaptive controller based on IF-THEN rules database for novel architecture of ABB IRB-1400.;Chidentree Treesatayapun;2020;J. Frankl. Inst.;Journal Articles;https://dblp.org/rec/journals/jfi/Treesatayapun20;https://doi.org/10.1016/j.jfranklin.2020.02.022;4834-4854;357;8;;;10.1016/J.JFRANKLIN.2020.02.022
journals/jiat/SvitakovaVP21;2-s2.0-85104884396;Enhanced adaptive partitioning in a distributed graph database.;Lucie Svitáková, Michal Valenta, Jaroslav Pokorný;2021;J. Inf. Telecommun.;Journal Articles;https://dblp.org/rec/journals/jiat/SvitakovaVP21;https://doi.org/10.1080/24751839.2020.1829387;104-120;5;1;;;10.1080/24751839.2020.1829387
journals/jiat/WeeN19a;2-s2.0-85104871492;Adaptive load forecasting using reinforcement learning with database technology.;Chee Keong Wee, Richi Nayak;2019;J. Inf. Telecommun.;Journal Articles;https://dblp.org/rec/journals/jiat/WeeN19a;https://doi.org/10.1080/24751839.2019.1596470;381-399;3;3;;;10.1080/24751839.2019.1596470
journals/jifs/KoczkodajKLWM19;2-s2.0-85077460579;Optimizing predictability of rating scales by differential evolution for the use by collective intelligent information and database systems.;Waldemar W. Koczkodaj, Tamar Kakiashvili, Feng Li, Alicja Wolny-Dominiak, Jolanta Masiak;2019;J. Intell. Fuzzy Syst.;Journal Articles;https://dblp.org/rec/journals/jifs/KoczkodajKLWM19;https://doi.org/10.3233/JIFS-179361;7545-7553;37;6;;;10.3233/JIFS-179361
journals/jifs/SaravanabhavanKPJ23;2-s2.0-85161227938;Fuzzy based optimized itemset mining in high dimensional transactional database using adaptable FCM.;C. Saravanabhavan, S. Kirubakaran, R. Premkumar, V. Jemmy Joyce;2023;J. Intell. Fuzzy Syst.;Journal Articles;https://dblp.org/rec/journals/jifs/SaravanabhavanKPJ23;https://doi.org/10.3233/JIFS-221672;6957-6971;44;4;;;10.3233/JIFS-221672
journals/jiis/AyedHHJ20;2-s2.0-85077043803;An updated dashboard of complete search FSM implementations in centralized graph transaction databases.;Rihab Ayed, Mohand-Saïd Hacid, Rafiqul Haque, Abderrazak Jemai;2020;J. Intell. Inf. Syst.;Journal Articles;https://dblp.org/rec/journals/jiis/AyedHHJ20;https://doi.org/10.1007/s10844-019-00579-4;149-182;55;1;;;10.1007/S10844-019-00579-4
journals/jis/HanHXL20;2-s2.0-85061971846;"Examining the classification and evolution of novice users&apos; mental models of an academic database in the search task completion process.";Zhengbiao Han, Preben Hansen, Haiyun Xu, Rui Luo;2020;J. Inf. Sci.;Journal Articles;https://dblp.org/rec/journals/jis/HanHXL20;https://doi.org/10.1177/0165551519828621;;46;2;;;10.1177/0165551519828621
journals/jodsn/VassiliadisZ17;2-s2.0-85034660907;"Schema Evolution Survival Guide for Tables: Avoid Rigid Childhood and You&apos;re En Route to a Quiet Life.";Panos Vassiliadis, Apostolos V. Zarras;2017;J. Data Semant.;Journal Articles;https://dblp.org/rec/journals/jodsn/VassiliadisZ17;https://doi.org/10.1007/s13740-017-0083-x;221-241;6;4;;;10.1007/S13740-017-0083-X
