key;Source;In Corpus;DM_R1;DM_R2;DM_R3;DataModel;DataModel description;M_R1;M_R2;M_R3;Method;Method description;T_R1;T_R2;T_R3;Topic;Topic description;Comment1;Comment2;Comment3;EID;title;authors;year;venue;type;link;volume;number;doi
conf/edbt/AthinaiouK19;JOIN;Y;302;302;;302;302: Relational;431, 421;431;;431, 421;"431: Tool
421: Algorithm (fully automated)";671, 677;677;;671, 677;"671: Exploration & visualization of schema changes
677: Schema version management techniques";DEMO;A tool to answer provenance queries for schema versions, when the respective SMOs are available;;2-s2.0-85062664005;VESEL: VisuaL Exploration of Schema Evolution using Provenance Queries.;Christos Athinaiou, Haridimos Kondylakis;2019;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-2322/BigVis_9.pdf;;;
conf/edbt/ChillonMHO23;JOIN;Y;306;;306;306;306: Multimodel (eg Polystores);413, 431;;431;413, 431;"413: Language
431: Tool";631, 622;;622;622;622: Impact to external source code when the logical schema changes;;;Identify application code to be updated due to schema evolution;2-s2.0-85159002211;Propagating Schema Changes to Code: An Approach Based on a Unified Data Model.;Alberto Hernández Chillón, Jesús García Molina, José Ramón Hoyos, María-José Ortín-Ibáñez;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id251_Alberto_Hernandez_Chillon.pdf;;;
conf/edbt/LiuHHC11;JOIN;Y;;305;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);;421;421;421;421: Algorithm (fully automated);;611;644;611, 644;"611: SMOs/Languages/Rigorous Models for schema evolution
644: Efficiently performing eager data migration";;Algorithms for Splitting and Merging tables for Column-Oriented DBs;SMOs for data migration during schema evolution in a column db, benchmark with synthetic data;2-s2.0-79953841370;Efficient and scalable data evolution with column oriented databases.;Ziyang Liu , Bin He , Hui-I Hsiao, Yi Chen;2011;EDBT;Conference and Workshop Papers;https://doi.org/10.1145/1951365.1951380;;;10.1145/1951365.1951380
conf/edbt/Suarez-OteroMCT23;JOIN;Y;305, 301;;305;301, 305;"301: Conceptual (ER/UML/Other)
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;;422;422;422: Method (not fully automated);632, 641;;641, 678, 632;632, 641;"632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution
641: Data migration script generation";Data model;;Generation of data migration scripts after schema changes in column db;2-s2.0-85159018708;Data migration in column family database evolution using MDE.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id250_Pablo_Suarez_Otero.pdf;;;
conf/edbt/Vassiliadis025;JOIN;Y;302;;302;302;302: Relational;402;;402;402;402: Empirical Study;650;;650;650;650: Understanding how schemata evolve;;;Patterns on how schema evolves over time;2-s2.0-105007923832;Time-Related Patterns Of Schema Evolution.;Panos Vassiliadis, Alexandros Karakasidis;2025;EDBT;Conference and Workshop Papers;https://doi.org/10.48786/edbt.2025.25;;;10.48786/EDBT.2025.25
conf/edbt/VassiliadisSKZ23;JOIN;Y;302;;302;302;302: Relational;402;;402;402;402: Empirical Study;650;;650;650;650: Understanding how schemata evolve;;;(Empirical study) Study the coevolution of schema and source code in a dataset of open source repos;2-s2.0-85135905356;Joint Source and Schema Evolution: Insights from a Study of 195 FOSS Projects.;Panos Vassiliadis, Fation Shehaj, George Kalampokis, Apostolos V. Zarras;2023;EDBT;Conference and Workshop Papers;https://doi.org/10.48786/edbt.2023.03;;;10.48786/EDBT.2023.03
conf/er/BenatsM0C22;JOIN;Y;306;;306;306;306: Multimodel (eg Polystores);422, 431;;431, 422;422, 431;"422: Method (not fully automated)
431: Tool";662;;662;662;662: Recommendations for specific, focused schema changes;;;(Schema evolution recommendations) Recommendations for schema evolution in polystores for query efficiency;2-s2.0-85138724686;Query-based Schema Evolution Recommendations for Hybrid Polystores.;Pol Benats, Loup Meurice, Maxime Gobert , Anthony Cleve;2022;ER Forum/PhD Symposium;Conference and Workshop Papers;https://ceur-ws.org/Vol-3211/CR_122.pdf;;;
conf/er/BonifatiFGHOV19;JOIN;Y;305;305;;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;422;;422;422: Method (not fully automated);611, 634;634;;634;634: Guaranteeing the correctness/validity of schema constraints during evolution;\+Schema validation / library;Validation of whether an evolving property graph instance abides by the prescribed schema;;2-s2.0-85076177905;Schema Validation and Evolution for Graph Databases.;Angela Bonifati, Peter Furniss, Alastair Green, Russ Harmer, Eugenia Oshurko, Hannes Voigt;2019;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-33223-5_37;;;10.1007/978-3-030-33223-5_37
conf/er/BrainingerMS20;JOIN;Y;302;302;;302;302: Relational;402;402;;402;402: Empirical Study;650;650;;650;650: Understanding how schemata evolve;They reproducce a study - SMOs;Case study for NoSQL schema evolution;;2-s2.0-85098271438;Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.;Dimitri Braininger, Wolfgang Mauerer, Stefanie Scherzinger;2020;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-65847-2_19;;;10.1007/978-3-030-65847-2_19
conf/er/CaruccioPT18;JOIN;Y;302;302;;302;302: Relational;422;422;;422;422: Method (not fully automated);633;633;;633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;relaxed functional dependencies;Method for query/view rewritting in the presence of schema evolution;;2-s2.0-85055419249;Dependency-Based Query/View Synchronization upon Schema Evolutions.;Loredana Caruccio, Giuseppe Polese, Genoveffa Tortora;2018;ER Workshops;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-01391-2_17;;;10.1007/978-3-030-01391-2_17
conf/er/ChillonRM21a;JOIN;Y;305;;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);413, 402;;411, 413;411, 413;"411: Algebra
413: Language";611;;611;611;611: SMOs/Languages/Rigorous Models for schema evolution;;;(Schema Modification Operators) SMOs for NoSQL DBs;2-s2.0-85118136056;Towards a Taxonomy of Schema Changes for NoSQL Databases: The Orion Language.;Alberto Hernández Chillón, Diego Sevilla Ruiz, Jesús García Molina;2021;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-89022-3_15;;;10.1007/978-3-030-89022-3_15
conf/er/DimolikasZV20;JOIN;Y;302;302;;302;302: Relational;402;402;;402;402: Empirical Study;675, 650;675, 650;;675, 650;"675: Computing the diachronic schema
650: Understanding how schemata evolve";;Case study on how the FK topology of a table relates to how it evolves;;2-s2.0-85097436953;"A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.";Konstantinos Dimolikas, Apostolos V. Zarras, Panos Vassiliadis;2020;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-62522-1_34;;;10.1007/978-3-030-62522-1_34
conf/er/GaoZ12;JOIN;Y;;302;302;302;302: Relational;;431;431;431;431: Tool;;647;647;647;647: Storing provenance information for data migration;;A tool for capturing the provenance of schema constructs;Reject? Data and schema provenance under schema evolution;2-s2.0-84868305003;Supporting Database Provenance under Schema Evolution.;Shi Gao, Carlo Zaniolo;2012;ER Workshops;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-33999-8_9;;;10.1007/978-3-642-33999-8_9
conf/er/GiachosPBZV23;JOIN;Y;302;;302;302;302: Relational;431, 421;;431;421, 431;"421: Algorithm (fully automated)
431: Tool";671, 650, 675;;671, 650;671, 650;"671: Exploration & visualization of schema changes
650: Understanding how schemata evolve";;;;2-s2.0-85184350607;Parallel lives diagrams for co-evolving communities and their application to schema evolution.;Fanis Giachos, Nikos Pantelidis, Christos Batsilas, Apostolos V. Zarras, Panos Vassiliadis;2023;ER;Conference and Workshop Papers;https://ceur-ws.org/Vol-3618/forum_paper_19.pdf;;;
conf/er/HauslerKS23;JOIN;Y;305;;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);413, 411;;411, 413;411, 413;"411: Algebra
413: Language";611, 641;;611;611;611: SMOs/Languages/Rigorous Models for schema evolution;;;Schema evolution operators and a language for graph db evolution;2-s2.0-85184350146;A language for graph database evolution and its implementation in Neo4j.;Dominique Hausler, Meike Klettke, Uta Störl;2023;ER;Conference and Workshop Papers;https://ceur-ws.org/Vol-3618/forum_paper_8.pdf;;;
conf/er/HillenbrandSS21;JOIN;Y;305;;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;;422;422;422: Method (not fully automated);645;;645;645;645: Data migration strategy determination;;;Study of data migration cost during NoSQL schema evolution through simulation;2-s2.0-85118155847;Remaining in Control of the Impact of Schema Evolution in NoSQL Databases.;Andrea Hillenbrand, Stefanie Scherzinger, Uta Störl;2021;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-89022-3_13;;;10.1007/978-3-030-89022-3_13
conf/er/QuintarelliRT11;JOIN;Y;;309;309;309;309: Other;;411;411;411;411: Algebra;;611;611;611;611: SMOs/Languages/Rigorous Models for schema evolution;;Model for context schema and algebra for its evolution;Context schema evolution;2-s2.0-80455168053;Context Schema Evolution in Context-Aware Data Management.;Elisa Quintarelli, Emanuele Rabosio, Letizia Tanca;2011;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-24606-7_22;;;10.1007/978-3-642-24606-7_22
conf/er/ScherzingerS20;JOIN;Y;305;;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);402;;402;402;402: Empirical Study;650;;650;650;650: Understanding how schemata evolve;;;(Empirical study?) Study of NoSQL schema evolution in 10 projects;2-s2.0-85097385437;An Empirical Study on the Design and Evolution of NoSQL Database Schemas.;Stefanie Scherzinger, Sebastian Sidortschuck;2020;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-62522-1_33;;;10.1007/978-3-030-62522-1_33
conf/er/Suarez-OteroMCT21;JOIN;Y;305, 301;;305;305, 301;"305: NoSQL (Graph/ JSON/Key-Value/Other)
301: Conceptual (ER/UML/Other)";422;;422;422;422: Method (not fully automated);661;;661;661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Conceptual models;;(Schema change mapping?) Short paper very few details, Map conceptual model changes to schema, data migration and application changes (preliminary work of 222);2-s2.0-85118137382;An Integrated Approach for Column-Oriented Database Application Evolution Using Conceptual Models.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2021;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-88358-4_3;;;10.1007/978-3-030-88358-4_3
conf/er/VassiliadisKZZ17;JOIN;Y;302;302;;302;302: Relational;402;402;;402;402: Empirical Study;650;650;;650;650: Understanding how schemata evolve;Foreign key evolution;Case study on how foreign keys evolve;;2-s2.0-85033445497;Schema Evolution and Foreign Keys: Birth, Eviction, Change and Absence.;Panos Vassiliadis, Michail-Romanos Kolozoff, Maria Zerva, Apostolos V. Zarras;2017;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-69904-2_9;;;10.1007/978-3-319-69904-2_9
conf/er/ZaschkeLN12;JOIN;Y;;304;304;304;304: Object Oriented DBs;;422, 431;422, 431, 402;422, 431;"422: Method (not fully automated)
431: Tool";;641;612;612, 641;"612: SMO composition
641: Data migration script generation";;Method for extracting sequences of SMOs to modify a version of an OO database to another;Conceptual model, Schema evolution recovery, Schema evolution optimization;2-s2.0-84868330112;Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution.;Tilmann Zäschke, Stefania Leone, Moira C. Norrie;2012;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-34002-4_29;;;10.1007/978-3-642-34002-4_29
conf/ercimdl/Brunsmann11;JOIN;Y;;305;;305;305: NoSQL (Graph/ JSON/Key-Value/Other);;422;;422;422: Method (not fully automated);;678;;678;678: Handling of schema mappings among any two schemata;;Method for capturing provenance for LOD metadata;Reject? A system architecture for product metadata lifecycle management, no specific details or research outcomes on schema evolution;2-s2.0-84891791855;Semantic Exploration of Archived Product Lifecycle Metadata under Schema and Instance Evolution.;Jörg Brunsmann;2011;SDA;Conference and Workshop Papers;https://ceur-ws.org/Vol-801/paper3.pdf;;;
conf/eScience/SchulerK22;JOIN;Y;302;;302;302;302: Relational;411, 431, 421, 402;;431, 411, 421;411, 421, 431;"411: Algebra
421: Algorithm (fully automated)
431: Tool";611;;611;611;611: SMOs/Languages/Rigorous Models for schema evolution;Scientific data novel set of model management operations -Integrated with smos;;(Schema change mapping among models) Extend SMOs to update the application conceptual model during db evolution, as well as integrity constraints within the db schema;2-s2.0-85145438632;Managing Database-Application Co-Evolution in a Scientific Data Ecosystem.;Robert E. Schuler, Carl Kesselman;2022;e-Science;Conference and Workshop Papers;https://doi.org/10.1109/eScience55777.2022.00035;;;10.1109/ESCIENCE55777.2022.00035
conf/eScience/SchulerSVWBK23;JOIN;Y;302;;302;302;302: Relational;402;;402;402;402: Empirical Study;650;;650;650;650: Understanding how schemata evolve;Scientific;;(General framework) A simplified methodology (tutorial like) and case study on evolution of a scientific db;2-s2.0-85174314936;Database Evolution, by Scientists, for Scientists: A Case Study.;Robert E. Schuler, Jitin Singla, Brinda Vallat, Kate L. White, Helen M. Berman, Carl Kesselman;2023;e-Science;Conference and Workshop Papers;https://doi.org/10.1109/e-Science58273.2023.10254872;;;10.1109/E-SCIENCE58273.2023.10254872
conf/eurosys/LittHH21;JOIN;Y;305;;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431;;413, 431;413, 431;"413: Language
431: Tool";646;;646, 631;646, 631;"646: Data migration virtually via query/view rewriting
631: Guaranteeing the correctness/validity of schema and application code coevolution";IRRELEVANT? decentralized architecture and schema evolution -json;;(Query adaptation during evolution) Language and tool for adaptation of db access of applications supporting different versions of the schema;2-s2.0-85104581833;Cambria: Schema Evolution in Distributed Systems with Edit Lenses.;Geoffrey Litt, Peter van Hardenberg, Orion Henry;2021;PaPoC@EuroSys;Conference and Workshop Papers;https://doi.org/10.1145/3447865.3457963;;;10.1145/3447865.3457963
conf/foiks/Ravve16;JOIN;Y;302;302;;302;302: Relational;412;412;;412;412: Theoretical Proof;621, 678;621, 633;;621, 678, 633;"621: Impact to peripheral constructs when the core schema changes
678: Handling of schema mappings among any two schemata
633: Guaranteeing the correctness/validity of peripheral constructs during evolution";;Correctness theorems for view recomputations for changing schemata;;2-s2.0-84960326129;Maintenance of Queries Under Database Changes: A Unified Logic Based Approach.;Elena V. Ravve;2016;FoIKS;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-30024-5_11;;;10.1007/978-3-319-30024-5_11
conf/gpce/VermolenWV11;JOIN;Y;;302;302, 308;302, 308;"302: Relational
308: ORM";;422, 431;431;422, 431;"422: Method (not fully automated)
431: Tool";;641;641;641;641: Data migration script generation;;Methods for data migrations for web app's with ORMs;(Schema mapping, SMOs) DSL for schema evolution at the ORM level and mapping SMOs to relational schema and data migration evolution operations;2-s2.0-81455135806;Generating database migrations for evolving web applications.;Sander Daniël Vermolen, Guido Wachsmuth, Eelco Visser;2011;GPCE;Conference and Workshop Papers;https://doi.org/10.1145/2047862.2047876;;;10.1145/2047862.2047876
conf/gvd/NosingerKH14;JOIN;Y;;303;303;303;303: XML;;421;421;421;421: Algorithm (fully automated);;612;612;612;612: SMO composition;;Algorithm for reducing the amount of changes during the migration of XML data;(Schema evolution optimization? )Optimization of SMO sequences by reducing their length;2-s2.0-84919962557;Optimization of Sequences of XML Schema Modifications - The ROfEL Approach.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2014;Grundlagen von Datenbanken;Conference and Workshop Papers;https://ceur-ws.org/Vol-1313/paper_3.pdf;;;
conf/hase/AssoudiL11;JOIN;Y;;302;302;302;302: Relational;;431;431;431;431: Tool;;678;678;678;678: Handling of schema mappings among any two schemata;;Tool to retain schema mappings for evolving schemata;Vision paper, Reject, not specific contributions, data exchange among processes with evolved databas schemata;2-s2.0-84856546983;Self-Healing Data Exchange Process under Evolving Schemas: A New Mapping Adaptation Approach Based on Self-Optimization.;Hicham Assoudi, Hakim Lounis;2011;HASE;Conference and Workshop Papers;https://doi.org/10.1109/HASE.2011.42;;;10.1109/HASE.2011.42
conf/ic3k/AzaiezA14;JOIN;Y;302;302;;302;302: Relational;422;422;;422;422: Method (not fully automated);633, 632;633;;633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;;Method (via rules) for propagating DW schema changes to the data marts;;2-s2.0-84909951967;How to Guarantee Analysis Results Coherence after Data Warehouse Schema Changes Propagation towards Data Marts?.;Noura Azaiez, Jalel Akaichi;2014;KEOD;Conference and Workshop Papers;https://doi.org/10.5220/0005158304280435;;;10.5220/0005158304280435
conf/icde/CavalieriGMO11;JOIN;Y;;303;303;303;303: XML;;421, 412;421;421, 412;"421: Algorithm (fully automated)
412: Theoretical Proof";;612;612;612;612: SMO composition;;Algorithm for reducing the amount of changes to an XML schema;(Schema evolution optimization), Optimization of sequences of XML schema SMOs for schema evolution;2-s2.0-79958073776;On the reduction of sequences of XML document and schema update operations.;Federico Cavalieri, Giovanna Guerrini, Marco Mesiti, Barbara Oliboni;2011;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW.2011.5767649;;;10.1109/ICDEW.2011.5767649
conf/icde/Decker11;JOIN;Y;;302;302;302;302: Relational;;412;412;412;412: Theoretical Proof;;634;634;634;634: Guaranteeing the correctness/validity of schema constraints during evolution;;Method for guaranteeing schema consistency during evolution;Validation of schema migrations for enforcement of integrity constraints at various levels;2-s2.0-79958024651;Causes for inconsistency-tolerant schema update management.;Hendrik Decker;2011;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW.2011.5767628;;;10.1109/ICDEW.2011.5767628
conf/icde/HillenbrandSLNK20;JOIN;Y;305;305;;305;305: NoSQL (Graph/ JSON/Key-Value/Other);401, 431;431, 422;;431, 422;"431: Tool
422: Method (not fully automated)";645, 680;645;;645;645: Data migration strategy determination;Self adaptation;Auto decision on lazy/eager/... migration of NoSQL data when they have to migrate (short discusion of tool);;2-s2.0-85085728192;Towards Self-Adapting Data Migration in the Context of Schema Evolution in NoSQL Databases.;Andrea Hillenbrand, Uta Störl, Maksym Levchenko, Shamil Nabiyev, Meike Klettke;2020;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW49219.2020.00013;;;10.1109/ICDEW49219.2020.00013
conf/icde/ScherzingerCA15;JOIN;Y;305;305;;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431, 422;431;;431;431: Tool;631, 622;631, 622;;631, 622;"631: Guaranteeing the correctness/validity of schema and application code coevolution
622: Impact to external source code when the logical schema changes";;Demo paper for a tool checking the consistency of class-schema evolution for apps over nosql data;;2-s2.0-84940829910;ControVol: A framework for controlled schema evolution in NoSQL application development.;Stefanie Scherzinger, Thomas Cerqueus, Eduardo Cunha de Almeida;2015;ICDE;Conference and Workshop Papers;https://doi.org/10.1109/ICDE.2015.7113402;;;10.1109/ICDE.2015.7113402
conf/icde/ScherzingerMK21;JOIN;Y;302;;302;302;302: Relational;431, 413;;431, 413;431, 413;"431: Tool
413: Language";631;;631;631;631: Guaranteeing the correctness/validity of schema and application code coevolution;;;Demo, Syntax for patches that simultaneously evolve db schema and application code (immature work, just a demo);2-s2.0-85112865171;DeBinelle: Semantic Patches for Coupled Database-Application Evolution.;Stefanie Scherzinger, Wolfgang Mauerer, Haridimos Kondylakis;2021;ICDE;Conference and Workshop Papers;https://doi.org/10.1109/ICDE51399.2021.00307;;;10.1109/ICDE51399.2021.00307
conf/icde/Vassiliadis21;JOIN;Y;302;;302;302;302: Relational;402;;402;402;402: Empirical Study;650;;650;650;650: Understanding how schemata evolve;;;(Empirical study) Large scale study of schema evolution in FOSS projects;2-s2.0-85112866030;Profiles of Schema Evolution in Free Open Source Software Projects.;Panos Vassiliadis;2021;ICDE;Conference and Workshop Papers;https://doi.org/10.1109/ICDE51399.2021.00008;;;10.1109/ICDE51399.2021.00008
conf/icde/WuN11;JOIN;Y;;302;302;302;302: Relational;;402, 431;402, 431;402, 431;"402: Empirical Study
431: Tool";;650;674;674, 650;"674: Reverse engineering /extraction of the entire history of a schema
650: Understanding how schemata evolve";;Case study on schema evolution;(Schema evolution recovery) Schema diff method and case study on schema evolution in embedded dbs;2-s2.0-79958059031;Schema evolution analysis for embedded databases.;Shengfeng Wu, Iulian Neamtiu;2011;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW.2011.5767627;;;10.1109/ICDEW.2011.5767627
conf/icdim/BrahmiaGB16;JOIN;Y;303;303;;303;303: XML;411, 413;411, 413;;411, 413;"411: Algebra
413: Language";611, 677;611;;611, 677;"611: SMOs/Languages/Rigorous Models for schema evolution
677: Schema version management techniques";it is about namespace evolution- pdf rendering problem;Method for implementing changes to XML namespaces on the basis of an algebra of operations;;2-s2.0-85014414922;Changes to XML namespaces in XML schemas and their effects on associated XML documents under schema versioning.;Zouhaier Brahmia, Fabio Grandi , Rafik Bouaziz;2016;ICDIM;Conference and Workshop Papers;https://doi.org/10.1109/ICDIM.2016.7829765;;;10.1109/ICDIM.2016.7829765
conf/iceis/CamposA25;JOIN;Y;302, 308;;302, 308;302, 308;"302: Relational
308: ORM";431, 401;;431;431;431: Tool;632;;631;631, 632;"631: Guaranteeing the correctness/validity of schema and application code coevolution
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";Library;;Method for adaptation of schema and data to software changes;2-s2.0-105020389931;DynaSchema: A Library to Support the Relational Data Schema Evolution for the Self-Adaptive Software Domain.;Gabriel Nagassaki Campos, Frank José Affonso;2025;ICEIS;Conference and Workshop Papers;https://doi.org/10.5220/0013349000003929;;;10.5220/0013349000003929
conf/icse/JongD15;JOIN;Y;302;302;;302;302: Relational;431, 402;431;;431;431: Tool;635, 631;631, 635;;635, 631;"635: Guaranteeing the zerodowntime of the evolution of a working system
631: Guaranteeing the correctness/validity of schema and application code coevolution";;Vision paper for a tool under construction for continuous deployment of apps in the presence of schema evolution;;2-s2.0-84962284951;Continuous Deployment and Schema Evolution in SQL Databases.;Michael de Jong, Arie van Deursen;2015;RELENG@ICSE;Conference and Workshop Papers;https://doi.org/10.1109/RELENG.2015.14;;;10.1109/RELENG.2015.14
conf/icse/JongDC17;JOIN;Y;302;302;;302;302: Relational;431;431;;431;431: Tool;635;635;;635;635: Guaranteeing the zerodowntime of the evolution of a working system;Continuous deployment;Method for schema migration via ghost tables for continuous delivery;;2-s2.0-85026828496;Zero-Downtime SQL Database Schema Evolution for Continuous Deployment.;Michael de Jong, Arie van Deursen, Anthony Cleve;2017;ICSE-SEIP;Conference and Workshop Papers;https://doi.org/10.1109/ICSE-SEIP.2017.5;;;10.1109/ICSE-SEIP.2017.5
conf/icseb/JaimoonS19;JOIN;Y;302, 308;302, 308;;302, 308;"302: Relational
308: ORM";422;422;;422;422: Method (not fully automated);622, 631;631;;622, 631;"622: Impact to external source code when the logical schema changes
631: Guaranteeing the correctness/validity of schema and application code coevolution";ORM;Method for evolving hibernate code in the presence of schema evolution;;2-s2.0-85079879521;Impact Analysis of Database Schema Changes on Hibernate Source Code and Test Cases.;Amornrat Jaimoon, Taratip Suwannasart;2019;ICSEB;Conference and Workshop Papers;https://doi.org/10.1145/3374549.3374579;;;10.1145/3374549.3374579
conf/icsm/Al-BarakB16;JOIN;Y;302;302;;302;302: Relational;401;401;;401;401: General Framework;680, 650;680;;680;680: General observations/concepts/guidelines around schema evolution;database debt;Definition of debt, as potentially hidden problems in the design of a database that hinder evolution;;2-s2.0-85010755945;Database Design Debts through Examining Schema Evolution.;Mashel Al-Barak, Rami Bahsoon;2016;MTD@ICSME;Conference and Workshop Papers;https://doi.org/10.1109/MTD.2016.9;;;10.1109/MTD.2016.9
conf/icsm/DelplanqueEAA18;JOIN;Y;302;302;;302;302: Relational;402;402;;402;402: Empirical Study;650, 661;650, 661;;650, 661;"650: Understanding how schemata evolve
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";;Case study for the evolution of an industrial db and hints on how to handle evolution;;2-s2.0-85058312386;Relational Database Schema Evolution: An Industrial Case Study.;Julien Delplanque, Anne Etien, Nicolas Anquetil, Olivier Auverlot;2018;ICSME;Conference and Workshop Papers;https://doi.org/10.1109/ICSME.2018.00073;;;10.1109/ICSME.2018.00073
conf/icsm/GobertMCW13;JOIN;Y;;302;302;302;302: Relational;;421;421;421;421: Algorithm (fully automated);;675;671;671, 675;"671: Exploration & visualization of schema changes
675: Computing the diachronic schema";;Algorithm to extract the diachronic schema across versions, to allow visualization of schema evolution;Visualization of the evolution history of a db schema;2-s2.0-84891679693;Understanding Schema Evolution as a Basis for Database Reengineering.;Maxime Gobert , Jerome Maes, Anthony Cleve, Jens H. Weber;2013;ICSM;Conference and Workshop Papers;https://doi.org/10.1109/ICSM.2013.75;;;10.1109/ICSM.2013.75
conf/icst/GargD12;JOIN;Y;;302;302;302;302: Relational;;422, 431;431, 422;422, 431;"422: Method (not fully automated)
431: Tool";;622;622;622;622: Impact to external source code when the logical schema changes;;Method to identify software tests that should be prioritized due to schema evolution;Test case prioritization due to schema evolution, Precursor of 1331;2-s2.0-84862321807;Test Case Prioritization Due to Database Changes in Web Applications.;Deepak Garg , Amitava Datta;2012;ICST;Conference and Workshop Papers;https://doi.org/10.1109/ICST.2012.163;;;10.1109/ICST.2012.163
conf/icws/KlimekN12;JOIN;Y;;303;303;303;303: XML;;411, 431;411, 431;411, 431;"411: Algebra
431: Tool";;611;678, 611;678, 611;"678: Handling of schema mappings among any two schemata
611: SMOs/Languages/Rigorous Models for schema evolution";;Algebra for schema evolution on XML data;(Schema mapping) XML Schema evolution algebra for document inheritance, conceptual level operations mapped to logical schema operations;2-s2.0-84866412361;Formal Evolution of XML Schemas with Inheritance.;Jakub Klímek, Martin Necaský;2012;ICWS;Conference and Workshop Papers;https://doi.org/10.1109/ICWS.2012.11;;;10.1109/ICWS.2012.11
conf/idc/ChytilPNH13;JOIN;Y;;302;302;302;302: Relational;;421;421, 431;421;421: Algorithm (fully automated);;633;633;633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;;Propagation of schema changes to adapt SQL queries;Method for Adaptation of queries under schema evolution;2-s2.0-84958524343;Evolution of a Relational Schema and Its Impact on SQL Queries.;Martin Chytil, Marek Polák, Martin Necaský, Irena Holubová;2013;IDC;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-01571-2_2;;;10.1007/978-3-319-01571-2_2
conf/ideas/HolubovaKL22;JOIN;Y;306;;306;306;306: Multimodel (eg Polystores);401;;401;401;401: General Framework;645, 661, 680;;680, 661;680, 661;"680: General observations/concepts/guidelines around schema evolution
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";;;(General framework) Research directions on joint evolution of multiple models in a polystore;2-s2.0-85139056317;Self-Adapting Design and Maintenance of Multi-Model Databases.;Irena Holubová, Pavel Koupil, Jiaheng Lu;2022;IDEAS;Conference and Workshop Papers;https://doi.org/10.1145/3548785.3548810;;;10.1145/3548785.3548810
conf/iiwas/ChabinEFH20;JOIN;Y;305;;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);411, 421, 412;;412, 421;412, 421;"412: Theoretical Proof
421: Algorithm (fully automated)";634;;634;634;634: Guaranteeing the correctness/validity of schema constraints during evolution;graph rewriting rules (RDF);;(Is it relevant?) - Graph DB (RDF), maintaining consistency in an RDF DB due to insertion of facts, related to 425;2-s2.0-85100333383;Graph Rewriting Rules for RDF Database Evolution Management.;Jacques Chabin, Cédric Eichler, Mírian Halfeld Ferrari, Nicolas Hiot;2020;iiWAS;Conference and Workshop Papers;https://doi.org/10.1145/3428757.3429126;;;10.1145/3428757.3429126
