key;Source;DataModel;DataModel description;Method;Method description;Topic;Topic description;EID;title;authors;year;venue;type;link;volume;number;doi
conf/dasfaa/ZengLGZZC24;JOIN;302;302: Relational;432;432: DBMS internal mechanism;643, 635;"643: Efficiently performing lazy data migration
635: Guaranteeing the zerodowntime of the evolution of a working system";2-s2.0-85206348357;SLSM: An Efficient Strategy for Lazy Schema Migration on Shared-Nothing Databases.;Zhilin Zeng, Hui Li, Xiyue Gao, Hui Zhang, Huiquan Zhang, Jiangtao Cui;2024;DASFAA;Conference and Workshop Papers;https://doi.org/10.1007/978-981-97-5552-3_24;;;10.1007/978-981-97-5552-3_24
conf/data/HerrmannRVDFSL15;JOIN;302;302: Relational;431;431: Tool;631;631: Guaranteeing the correctness/validity of schema and application code coevolution;2-s2.0-84964931551;Database Evolution for Software Product Lines.;Kai Herrmann , Jan Reimann , Hannes Voigt, Birgit Demuth, Stefan Fromm, Robert Stelzmann, Wolfgang Lehner;2015;DATA;Conference and Workshop Papers;https://doi.org/10.5220/0005484101250133;;;10.5220/0005484101250133
conf/data/MohapatraHVLTL18;JOIN;302;302: Relational;422, 431;"422: Method (not fully automated)
431: Tool";635;635: Guaranteeing the zerodowntime of the evolution of a working system;2-s2.0-85071417566;Seamless Database Evolution for Cloud Applications.;Aniket Mohapatra, Kai Herrmann , Hannes Voigt, Simon Lüders, Tsvetan Tsokov, Wolfgang Lehner;2018;DATA;Conference and Workshop Papers;https://doi.org/10.5220/0006845101970207;;;10.5220/0006845101970207
conf/dexa/AmaviCAR14;JOIN;303;303: XML;421;421: Algorithm (fully automated);678;678: Handling of schema mappings among any two schemata;2-s2.0-84958543412;A ToolBox for Conservative XML Schema Evolution and Document Adaptation.;Joshua Amavi, Jacques Chabin, Mirian Halfeld Ferrari Alves, Pierre Réty;2014;DEXA;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-10073-9_24;;;10.1007/978-3-319-10073-9_24
conf/dexa/GuedesBM16;JOIN;301;301: Conceptual (ER/UML/Other);422;422: Method (not fully automated);663, 632;"663: Schema design to gracefully sustain evolution
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-84981188311;Evolutionary Database Design: Enhancing Data Abstraction Through Database Modularization to Achieve Graceful Schema Evolution.;Gustavo Bartz Guedes, Gisele Busichia Baioco, Regina Lúcia de Oliveira Moraes;2016;DEXA;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-44403-1_22;;;10.1007/978-3-319-44403-1_22
conf/dexa/HuoT12;JOIN;302;302: Relational;421;421: Algorithm (fully automated);677;677: Schema version management techniques;2-s2.0-84866027812;Querying Transaction-Time Databases under Branched Schema Evolution.;Wenyu Huo, Vassilis J. Tsotras;2012;DEXA;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-32600-4_20;;;10.1007/978-3-642-32600-4_20
conf/dmah-ws/StiemerVSS20;JOIN;306;306: Multimodel (eg Polystores);432;432: DBMS internal mechanism;649;649: Data migration: other;2-s2.0-85103542795;PolyMigrate: Dynamic Schema Evolution and Data Migration in a Distributed Polystore.;Alexander Stiemer, Marco Vogt , Heiko Schuldt, Uta Störl;2020;Poly/DMAH@VLDB;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-71055-2_4;;;10.1007/978-3-030-71055-2_4
conf/doceng/HasegawaIS13;JOIN;303;303: XML;421, 411;"421: Algorithm (fully automated)
411: Algebra";611, 633;"611: SMOs/Languages/Rigorous Models for schema evolution
633: Guaranteeing the correctness/validity of peripheral constructs during evolution";2-s2.0-84924452788;An Algorithm for Transforming XPath Expressions According to Schema Evolution.;Kazuma Hasegawa, Kosetsu Ikeda, Nobutaka Suzuki;2013;DChanges;Conference and Workshop Papers;https://ceur-ws.org/Vol-1008/paper4.pdf;;;
conf/doceng/WuS15;JOIN;303;303: XML;421;421: Algorithm (fully automated);621;621: Impact to peripheral constructs when the core schema changes;2-s2.0-84959251953;Detecting XSLT Rules Affected by Schema Evolution.;Yang Wu, Nobutaka Suzuki;2015;DocEng;Conference and Workshop Papers;https://doi.org/10.1145/2682571.2797086;;;10.1145/2682571.2797086
conf/edbt/AthinaiouK19;JOIN;302;302: Relational;431, 421;"431: Tool
421: Algorithm (fully automated)";671, 677;"671: Exploration & visualization of schema changes
677: Schema version management techniques";2-s2.0-85062664005;VESEL: VisuaL Exploration of Schema Evolution using Provenance Queries.;Christos Athinaiou, Haridimos Kondylakis;2019;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-2322/BigVis_9.pdf;;;
conf/edbt/ChillonMHO23;JOIN;306;306: Multimodel (eg Polystores);413, 431;"413: Language
431: Tool";622;622: Impact to external source code when the logical schema changes;2-s2.0-85159002211;Propagating Schema Changes to Code: An Approach Based on a Unified Data Model.;Alberto Hernández Chillón, Jesús García Molina, José Ramón Hoyos, María-José Ortín-Ibáñez;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id251_Alberto_Hernandez_Chillon.pdf;;;
conf/edbt/LiuHHC11;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421;421: Algorithm (fully automated);611, 644;"611: SMOs/Languages/Rigorous Models for schema evolution
644: Efficiently performing eager data migration";2-s2.0-79953841370;Efficient and scalable data evolution with column oriented databases.;Ziyang Liu , Bin He , Hui-I Hsiao, Yi Chen;2011;EDBT;Conference and Workshop Papers;https://doi.org/10.1145/1951365.1951380;;;10.1145/1951365.1951380
conf/edbt/Suarez-OteroMCT23;JOIN;301, 305;"301: Conceptual (ER/UML/Other)
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);632, 641;"632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution
641: Data migration script generation";2-s2.0-85159018708;Data migration in column family database evolution using MDE.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2023;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id250_Pablo_Suarez_Otero.pdf;;;
conf/edbt/Vassiliadis025;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-105007923832;Time-Related Patterns Of Schema Evolution.;Panos Vassiliadis, Alexandros Karakasidis;2025;EDBT;Conference and Workshop Papers;https://doi.org/10.48786/edbt.2025.25;;;10.48786/EDBT.2025.25
conf/edbt/VassiliadisSKZ23;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85135905356;Joint Source and Schema Evolution: Insights from a Study of 195 FOSS Projects.;Panos Vassiliadis, Fation Shehaj, George Kalampokis, Apostolos V. Zarras;2023;EDBT;Conference and Workshop Papers;https://doi.org/10.48786/edbt.2023.03;;;10.48786/EDBT.2023.03
conf/er/BenatsM0C22;JOIN;306;306: Multimodel (eg Polystores);422, 431;"422: Method (not fully automated)
431: Tool";662;662: Recommendations for specific, focused schema changes;2-s2.0-85138724686;Query-based Schema Evolution Recommendations for Hybrid Polystores.;Pol Benats, Loup Meurice, Maxime Gobert , Anthony Cleve;2022;ER Forum/PhD Symposium;Conference and Workshop Papers;https://ceur-ws.org/Vol-3211/CR_122.pdf;;;
conf/er/BonifatiFGHOV19;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;422: Method (not fully automated);634;634: Guaranteeing the correctness/validity of schema constraints during evolution;2-s2.0-85076177905;Schema Validation and Evolution for Graph Databases.;Angela Bonifati, Peter Furniss, Alastair Green, Russ Harmer, Eugenia Oshurko, Hannes Voigt;2019;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-33223-5_37;;;10.1007/978-3-030-33223-5_37
conf/er/BrainingerMS20;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85098271438;Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.;Dimitri Braininger, Wolfgang Mauerer, Stefanie Scherzinger;2020;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-65847-2_19;;;10.1007/978-3-030-65847-2_19
conf/er/CaruccioPT18;JOIN;302;302: Relational;422;422: Method (not fully automated);633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;2-s2.0-85055419249;Dependency-Based Query/View Synchronization upon Schema Evolutions.;Loredana Caruccio, Giuseppe Polese, Genoveffa Tortora;2018;ER Workshops;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-01391-2_17;;;10.1007/978-3-030-01391-2_17
conf/er/ChillonRM21a;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);411, 413;"411: Algebra
413: Language";611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-85118136056;Towards a Taxonomy of Schema Changes for NoSQL Databases: The Orion Language.;Alberto Hernández Chillón, Diego Sevilla Ruiz, Jesús García Molina;2021;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-89022-3_15;;;10.1007/978-3-030-89022-3_15
conf/er/DimolikasZV20;JOIN;302;302: Relational;402;402: Empirical Study;675, 650;"675: Computing the diachronic schema
650: Understanding how schemata evolve";2-s2.0-85097436953;"A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.";Konstantinos Dimolikas, Apostolos V. Zarras, Panos Vassiliadis;2020;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-62522-1_34;;;10.1007/978-3-030-62522-1_34
conf/er/GaoZ12;JOIN;302;302: Relational;431;431: Tool;647;647: Storing provenance information for data migration;2-s2.0-84868305003;Supporting Database Provenance under Schema Evolution.;Shi Gao, Carlo Zaniolo;2012;ER Workshops;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-33999-8_9;;;10.1007/978-3-642-33999-8_9
conf/er/GiachosPBZV23;JOIN;302;302: Relational;421, 431;"421: Algorithm (fully automated)
431: Tool";671, 650;"671: Exploration & visualization of schema changes
650: Understanding how schemata evolve";2-s2.0-85184350607;Parallel lives diagrams for co-evolving communities and their application to schema evolution.;Fanis Giachos, Nikos Pantelidis, Christos Batsilas, Apostolos V. Zarras, Panos Vassiliadis;2023;ER;Conference and Workshop Papers;https://ceur-ws.org/Vol-3618/forum_paper_19.pdf;;;
conf/er/HauslerKS23;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);411, 413;"411: Algebra
413: Language";611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-85184350146;A language for graph database evolution and its implementation in Neo4j.;Dominique Hausler, Meike Klettke, Uta Störl;2023;ER;Conference and Workshop Papers;https://ceur-ws.org/Vol-3618/forum_paper_8.pdf;;;
conf/er/HillenbrandSS21;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;422: Method (not fully automated);645;645: Data migration strategy determination;2-s2.0-85118155847;Remaining in Control of the Impact of Schema Evolution in NoSQL Databases.;Andrea Hillenbrand, Stefanie Scherzinger, Uta Störl;2021;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-89022-3_13;;;10.1007/978-3-030-89022-3_13
conf/er/QuintarelliRT11;JOIN;309;309: Other;411;411: Algebra;611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-80455168053;Context Schema Evolution in Context-Aware Data Management.;Elisa Quintarelli, Emanuele Rabosio, Letizia Tanca;2011;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-24606-7_22;;;10.1007/978-3-642-24606-7_22
conf/er/ScherzingerS20;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85097385437;An Empirical Study on the Design and Evolution of NoSQL Database Schemas.;Stefanie Scherzinger, Sebastian Sidortschuck;2020;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-62522-1_33;;;10.1007/978-3-030-62522-1_33
conf/er/Suarez-OteroMCT21;JOIN;305, 301;"305: NoSQL (Graph/ JSON/Key-Value/Other)
301: Conceptual (ER/UML/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85118137382;An Integrated Approach for Column-Oriented Database Application Evolution Using Conceptual Models.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2021;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-030-88358-4_3;;;10.1007/978-3-030-88358-4_3
conf/er/VassiliadisKZZ17;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85033445497;Schema Evolution and Foreign Keys: Birth, Eviction, Change and Absence.;Panos Vassiliadis, Michail-Romanos Kolozoff, Maria Zerva, Apostolos V. Zarras;2017;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-69904-2_9;;;10.1007/978-3-319-69904-2_9
conf/er/ZaschkeLN12;JOIN;304;304: Object Oriented DBs;422, 431;"422: Method (not fully automated)
431: Tool";612, 641;"612: SMO composition
641: Data migration script generation";2-s2.0-84868330112;Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution.;Tilmann Zäschke, Stefania Leone, Moira C. Norrie;2012;ER;Conference and Workshop Papers;https://doi.org/10.1007/978-3-642-34002-4_29;;;10.1007/978-3-642-34002-4_29
conf/ercimdl/Brunsmann11;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;422: Method (not fully automated);678;678: Handling of schema mappings among any two schemata;2-s2.0-84891791855;Semantic Exploration of Archived Product Lifecycle Metadata under Schema and Instance Evolution.;Jörg Brunsmann;2011;SDA;Conference and Workshop Papers;https://ceur-ws.org/Vol-801/paper3.pdf;;;
conf/eScience/SchulerK22;JOIN;302;302: Relational;411, 421, 431;"411: Algebra
421: Algorithm (fully automated)
431: Tool";611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-85145438632;Managing Database-Application Co-Evolution in a Scientific Data Ecosystem.;Robert E. Schuler, Carl Kesselman;2022;e-Science;Conference and Workshop Papers;https://doi.org/10.1109/eScience55777.2022.00035;;;10.1109/ESCIENCE55777.2022.00035
conf/eScience/SchulerSVWBK23;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85174314936;Database Evolution, by Scientists, for Scientists: A Case Study.;Robert E. Schuler, Jitin Singla, Brinda Vallat, Kate L. White, Helen M. Berman, Carl Kesselman;2023;e-Science;Conference and Workshop Papers;https://doi.org/10.1109/e-Science58273.2023.10254872;;;10.1109/E-SCIENCE58273.2023.10254872
conf/eurosys/LittHH21;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);413, 431;"413: Language
431: Tool";646, 631;"646: Data migration virtually via query/view rewriting
631: Guaranteeing the correctness/validity of schema and application code coevolution";2-s2.0-85104581833;Cambria: Schema Evolution in Distributed Systems with Edit Lenses.;Geoffrey Litt, Peter van Hardenberg, Orion Henry;2021;PaPoC@EuroSys;Conference and Workshop Papers;https://doi.org/10.1145/3447865.3457963;;;10.1145/3447865.3457963
conf/foiks/Ravve16;JOIN;302;302: Relational;412;412: Theoretical Proof;621, 678, 633;"621: Impact to peripheral constructs when the core schema changes
678: Handling of schema mappings among any two schemata
633: Guaranteeing the correctness/validity of peripheral constructs during evolution";2-s2.0-84960326129;Maintenance of Queries Under Database Changes: A Unified Logic Based Approach.;Elena V. Ravve;2016;FoIKS;Conference and Workshop Papers;https://doi.org/10.1007/978-3-319-30024-5_11;;;10.1007/978-3-319-30024-5_11
conf/gpce/VermolenWV11;JOIN;302, 308;"302: Relational
308: ORM";422, 431;"422: Method (not fully automated)
431: Tool";641;641: Data migration script generation;2-s2.0-81455135806;Generating database migrations for evolving web applications.;Sander Daniël Vermolen, Guido Wachsmuth, Eelco Visser;2011;GPCE;Conference and Workshop Papers;https://doi.org/10.1145/2047862.2047876;;;10.1145/2047862.2047876
conf/gvd/NosingerKH14;JOIN;303;303: XML;421;421: Algorithm (fully automated);612;612: SMO composition;2-s2.0-84919962557;Optimization of Sequences of XML Schema Modifications - The ROfEL Approach.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2014;Grundlagen von Datenbanken;Conference and Workshop Papers;https://ceur-ws.org/Vol-1313/paper_3.pdf;;;
conf/hase/AssoudiL11;JOIN;302;302: Relational;431;431: Tool;678;678: Handling of schema mappings among any two schemata;2-s2.0-84856546983;Self-Healing Data Exchange Process under Evolving Schemas: A New Mapping Adaptation Approach Based on Self-Optimization.;Hicham Assoudi, Hakim Lounis;2011;HASE;Conference and Workshop Papers;https://doi.org/10.1109/HASE.2011.42;;;10.1109/HASE.2011.42
conf/ic3k/AzaiezA14;JOIN;302;302: Relational;422;422: Method (not fully automated);633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;2-s2.0-84909951967;How to Guarantee Analysis Results Coherence after Data Warehouse Schema Changes Propagation towards Data Marts?.;Noura Azaiez, Jalel Akaichi;2014;KEOD;Conference and Workshop Papers;https://doi.org/10.5220/0005158304280435;;;10.5220/0005158304280435
conf/icde/CavalieriGMO11;JOIN;303;303: XML;421, 412;"421: Algorithm (fully automated)
412: Theoretical Proof";612;612: SMO composition;2-s2.0-79958073776;On the reduction of sequences of XML document and schema update operations.;Federico Cavalieri, Giovanna Guerrini, Marco Mesiti, Barbara Oliboni;2011;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW.2011.5767649;;;10.1109/ICDEW.2011.5767649
conf/icde/Decker11;JOIN;302;302: Relational;412;412: Theoretical Proof;634;634: Guaranteeing the correctness/validity of schema constraints during evolution;2-s2.0-79958024651;Causes for inconsistency-tolerant schema update management.;Hendrik Decker;2011;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW.2011.5767628;;;10.1109/ICDEW.2011.5767628
conf/icde/HillenbrandSLNK20;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431, 422;"431: Tool
422: Method (not fully automated)";645;645: Data migration strategy determination;2-s2.0-85085728192;Towards Self-Adapting Data Migration in the Context of Schema Evolution in NoSQL Databases.;Andrea Hillenbrand, Uta Störl, Maksym Levchenko, Shamil Nabiyev, Meike Klettke;2020;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW49219.2020.00013;;;10.1109/ICDEW49219.2020.00013
conf/icde/ScherzingerCA15;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431;431: Tool;631, 622;"631: Guaranteeing the correctness/validity of schema and application code coevolution
622: Impact to external source code when the logical schema changes";2-s2.0-84940829910;ControVol: A framework for controlled schema evolution in NoSQL application development.;Stefanie Scherzinger, Thomas Cerqueus, Eduardo Cunha de Almeida;2015;ICDE;Conference and Workshop Papers;https://doi.org/10.1109/ICDE.2015.7113402;;;10.1109/ICDE.2015.7113402
conf/icde/ScherzingerMK21;JOIN;302;302: Relational;431, 413;"431: Tool
413: Language";631;631: Guaranteeing the correctness/validity of schema and application code coevolution;2-s2.0-85112865171;DeBinelle: Semantic Patches for Coupled Database-Application Evolution.;Stefanie Scherzinger, Wolfgang Mauerer, Haridimos Kondylakis;2021;ICDE;Conference and Workshop Papers;https://doi.org/10.1109/ICDE51399.2021.00307;;;10.1109/ICDE51399.2021.00307
conf/icde/Vassiliadis21;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85112866030;Profiles of Schema Evolution in Free Open Source Software Projects.;Panos Vassiliadis;2021;ICDE;Conference and Workshop Papers;https://doi.org/10.1109/ICDE51399.2021.00008;;;10.1109/ICDE51399.2021.00008
conf/icde/WuN11;JOIN;302;302: Relational;402, 431;"402: Empirical Study
431: Tool";674, 650;"674: Reverse engineering /extraction of the entire history of a schema
650: Understanding how schemata evolve";2-s2.0-79958059031;Schema evolution analysis for embedded databases.;Shengfeng Wu, Iulian Neamtiu;2011;ICDE Workshops;Conference and Workshop Papers;https://doi.org/10.1109/ICDEW.2011.5767627;;;10.1109/ICDEW.2011.5767627
conf/icdim/BrahmiaGB16;JOIN;303;303: XML;411, 413;"411: Algebra
413: Language";611, 677;"611: SMOs/Languages/Rigorous Models for schema evolution
677: Schema version management techniques";2-s2.0-85014414922;Changes to XML namespaces in XML schemas and their effects on associated XML documents under schema versioning.;Zouhaier Brahmia, Fabio Grandi , Rafik Bouaziz;2016;ICDIM;Conference and Workshop Papers;https://doi.org/10.1109/ICDIM.2016.7829765;;;10.1109/ICDIM.2016.7829765
conf/iceis/CamposA25;JOIN;302, 308;"302: Relational
308: ORM";431;431: Tool;631, 632;"631: Guaranteeing the correctness/validity of schema and application code coevolution
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-105020389931;DynaSchema: A Library to Support the Relational Data Schema Evolution for the Self-Adaptive Software Domain.;Gabriel Nagassaki Campos, Frank José Affonso;2025;ICEIS;Conference and Workshop Papers;https://doi.org/10.5220/0013349000003929;;;10.5220/0013349000003929
