,search_terms,term_1,term_2,title,authors,year,venue,type,key,url,ee,pages,volume,number,publisher,isbn,doi
31,Schema Evolution,Schema,Evolution,NoSQL document data migration strategy in the context of schema evolution.,"['Solomiia Fedushko', 'Roman Malyi', 'Yuriy Syerov', 'Pavlo Serdyuk']",2024,Data Knowl. Eng.,Journal Articles,journals/dke/FedushkoMSS24,https://dblp.org/rec/journals/dke/FedushkoMSS24,https://doi.org/10.1016/j.datak.2024.102369,102369,154,,,,10.1016/J.DATAK.2024.102369
32,Schema Evolution,Schema,Evolution,Schema Evolution in Interactive Programming Systems.,"['Jonathan Edwards', 'Tomas Petricek 0001', 'Tijs van der Storm', 'Geoffrey Litt']",2024,Art Sci. Eng. Program.,Journal Articles,journals/programming/EdwardsPSL24,https://dblp.org/rec/journals/programming/EdwardsPSL24,https://doi.org/10.22152/programming-journal.org/2025/9/2,,9,1,,,10.22152/PROGRAMMING-JOURNAL.ORG/2025/9/2
33,Schema Evolution,Schema,Evolution,A Generic Schema Evolution Approach for NoSQL and Relational Databases.,"['Alberto Hernández Chillón', 'Meike Klettke', 'Diego Sevilla Ruiz', 'Jesús García Molina']",2024,IEEE Trans. Knowl. Data Eng.,Journal Articles,journals/tkde/ChillonKRM24,https://dblp.org/rec/journals/tkde/ChillonKRM24,https://doi.org/10.1109/TKDE.2024.3362273,2774-2789,36,7,,,10.1109/TKDE.2024.3362273
34,Schema Evolution,Schema,Evolution,"Estimation, Impact and Visualization of Schema Evolution in Graph Databases.",['Dominique Hausler'],2024,MoDELS,Conference and Workshop Papers,conf/models/Hausler24,https://dblp.org/rec/conf/models/Hausler24,https://doi.org/10.1145/3652620.3688196,123-129,,,,,10.1145/3652620.3688196
35,Schema Evolution,Schema,Evolution,Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.,"['Muriki G. Yamanaka', 'Diogo Henrique de Almeida', 'Paulo Ricardo Lisboa de Almeida', 'Simone Dominico', 'Letícia M. Peres', 'Marcos Sfair Sunyé', 'Eduardo C. de Almeida']",2024,SBBD,Conference and Workshop Papers,conf/sbbd/YamanakaAADPSA24,https://dblp.org/rec/conf/sbbd/YamanakaAADPSA24,https://doi.org/10.5753/sbbd.2024.240840,498-509,,,,,10.5753/SBBD.2024.240840
36,Schema Evolution,Schema,Evolution,Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.,"['Muriki G. Yamanaka', 'Diogo Henrique de Almeida', 'Paulo R. Lisboa de Almeida', 'Simone Dominico', 'Letícia M. Peres', 'Marcos Sfair Sunyé', 'Eduardo C. de Almeida']",2024,CoRR,Informal and Other Publications,journals/corr/abs-2407-09885,https://dblp.org/rec/journals/corr/abs-2407-09885,https://doi.org/10.48550/arXiv.2407.09885,,abs/2407.09885,,,,10.48550/ARXIV.2407.09885
37,Schema Evolution,Schema,Evolution,Schema Evolution in Interactive Programming Systems.,"['Jonathan Edwards', 'Tomas Petricek 0001', 'Tijs van der Storm', 'Geoffrey Litt']",2024,CoRR,Informal and Other Publications,journals/corr/abs-2412-06269,https://dblp.org/rec/journals/corr/abs-2412-06269,https://doi.org/10.48550/arXiv.2412.06269,,abs/2412.06269,,,,10.48550/ARXIV.2412.06269
38,Schema Evolution,Schema,Evolution,Evolutionary combination of connected event schemas into meaningful plots.,"['Pablo Gervás', 'Gonzalo Méndez 0001', 'Eugenio Concepción']",2023,Genet. Program. Evolvable Mach.,Journal Articles,journals/gpem/GervasMC23,https://dblp.org/rec/journals/gpem/GervasMC23,https://doi.org/10.1007/s10710-023-09454-2,7,24,1,,,10.1007/S10710-023-09454-2
39,Schema Evolution,Schema,Evolution,"Clustering, Universalities, and Evolutionary Schema Design.","['Issei Fujishiro', 'Naoko Sawada', 'Makoto Uemura']",2023,EDBT/ICDT Workshops,Conference and Workshop Papers,conf/edbt/FujishiroSU23,https://dblp.org/rec/conf/edbt/FujishiroSU23,https://ceur-ws.org/Vol-3379/BigVis2023_702.pdf,,,,,,
40,Schema Evolution,Schema,Evolution,Joint Source and Schema Evolution: Insights from a Study of 195 FOSS Projects.,"['Panos Vassiliadis', 'Fation Shehaj', 'George Kalampokis', 'Apostolos V. Zarras']",2023,EDBT,Conference and Workshop Papers,conf/edbt/VassiliadisSKZ23,https://dblp.org/rec/conf/edbt/VassiliadisSKZ23,https://doi.org/10.48786/edbt.2023.03,27-39,,,,,10.48786/EDBT.2023.03
41,Schema Evolution,Schema,Evolution,Parallel lives diagrams for co-evolving communities and their application to schema evolution.,"['Fanis Giachos', 'Nikos Pantelidis', 'Christos Batsilas', 'Apostolos V. Zarras', 'Panos Vassiliadis']",2023,ER,Conference and Workshop Papers,conf/er/GiachosPBZV23,https://dblp.org/rec/conf/er/GiachosPBZV23,https://ceur-ws.org/Vol-3618/forum_paper_19.pdf,,,,,,
42,Schema Evolution,Schema,Evolution,Automated Database Schema Evolution in Microservices.,['Maxime André 0001'],2023,PhD@VLDB,Conference and Workshop Papers,conf/vldb/Andre23,https://dblp.org/rec/conf/vldb/Andre23,https://ceur-ws.org/Vol-3452/paper10.pdf,37-40,,,,,
43,Schema Evolution,Schema,Evolution,Self-adapting data migration in the context of schema evolution in NoSQL databases.,"['Andrea Hillenbrand', 'Uta Störl', 'Shamil Nabiyev', 'Meike Klettke']",2022,Distributed Parallel Databases,Journal Articles,journals/dpd/HillenbrandSNK22,https://dblp.org/rec/journals/dpd/HillenbrandSNK22,https://doi.org/10.1007/s10619-021-07334-1,5-25,40,1,,,10.1007/S10619-021-07334-1
44,Schema Evolution,Schema,Evolution,"Taxa and super taxa of schema evolution and their relationship to activity, heartbeat and duration.","['Panos Vassiliadis', 'George Kalampokis']",2022,Inf. Syst.,Journal Articles,journals/is/VassiliadisK22,https://dblp.org/rec/journals/is/VassiliadisK22,https://doi.org/10.1016/j.is.2022.102109,102109,110,,,,10.1016/J.IS.2022.102109
45,Schema Evolution,Schema,Evolution,Online Schema Evolution is (almost) Free for Snapshot Databases.,"['Tianxun Hu', 'Tianzheng Wang 0001', 'Qingqing Zhou']",2022,Proc. VLDB Endow.,Journal Articles,journals/pvldb/Hu0Z22,https://dblp.org/rec/journals/pvldb/Hu0Z22,https://www.vldb.org/pvldb/vol16/p140-hu.pdf,140-153,16,2,,,10.14778/3565816.3565818
46,Schema Evolution,Schema,Evolution,Darwin: A Data Platform for Schema Evolution Management and Data Migration.,"['Uta Störl', 'Meike Klettke']",2022,EDBT/ICDT Workshops,Conference and Workshop Papers,conf/edbt/StorlK22,https://dblp.org/rec/conf/edbt/StorlK22,https://ceur-ws.org/Vol-3135/dataplat_short3.pdf,,,,,,
47,Schema Evolution,Schema,Evolution,Query-based Schema Evolution Recommendations for Hybrid Polystores.,"['Pol Benats', 'Loup Meurice', 'Maxime Gobert 0001', 'Anthony Cleve']",2022,ER Forum/PhD Symposium,Conference and Workshop Papers,conf/er/BenatsM0C22,https://dblp.org/rec/conf/er/BenatsM0C22,https://ceur-ws.org/Vol-3211/CR_122.pdf,,,,,,
48,Schema Evolution,Schema,Evolution,EvolveDB: a tool for model driven schema evolution.,"['Torben Eckwert', 'Michael Guckert', 'Gabriele Taentzer']",2022,MoDELS,Conference and Workshop Papers,conf/models/EckwertGT22,https://dblp.org/rec/conf/models/EckwertGT22,https://doi.org/10.1145/3550356.3559095,61-65,,,,,10.1145/3550356.3559095
49,Schema Evolution,Schema,Evolution,Analysing the Evolution of Community-Driven (Sub-)Schemas within Wikidata.,"['Sofia Baroncini', 'Margherita Martorana', 'Mario Scrocca', 'Zuzanna Smiech', 'Axel Polleres']",2022,Wikidata@ISWC,Conference and Workshop Papers,conf/semweb/BaronciniMSSP22,https://dblp.org/rec/conf/semweb/BaronciniMSSP22,https://ceur-ws.org/Vol-3262/paper5.pdf,,,,,,
50,Schema Evolution,Schema,Evolution,Online Schema Evolution is (Almost) Free for Snapshot Databases.,"['Tianxun Hu', 'Tianzheng Wang 0001', 'Qingqing Zhou']",2022,CoRR,Informal and Other Publications,journals/corr/abs-2210-03958,https://dblp.org/rec/journals/corr/abs-2210-03958,https://doi.org/10.48550/arXiv.2210.03958,,abs/2210.03958,,,,10.48550/ARXIV.2210.03958
51,Schema Evolution,Schema,Evolution,Enhanced Inversion of Schema Evolution with Provenance.,"['Tanja Auge', 'Andreas Heuer 0001']",2022,CoRR,Informal and Other Publications,journals/corr/abs-2211-13810,https://dblp.org/rec/journals/corr/abs-2211-13810,https://doi.org/10.48550/arXiv.2211.13810,,abs/2211.13810,,,,10.48550/ARXIV.2211.13810
52,Schema Evolution,Schema,Evolution,Schema Evolution in Multiversion Data Warehouses.,"['Waqas Ahmed 0003', 'Esteban Zimányi', 'Alejandro A. Vaisman', 'Robert Wrembel']",2021,Int. J. Data Warehous. Min.,Journal Articles,journals/jdwm/AhmedZVW21,https://dblp.org/rec/journals/jdwm/AhmedZVW21,https://doi.org/10.4018/ijdwm.2021100101,1-28,17,4,,,10.4018/IJDWM.2021100101
53,Schema Evolution,Schema,Evolution,An empirical characterization of event sourced systems and their schema evolution - Lessons from industry.,"['Michiel Overeem', 'Marten Spoor', 'Slinger Jansen', 'Sjaak Brinkkemper']",2021,J. Syst. Softw.,Journal Articles,journals/jss/OvereemSJB21,https://dblp.org/rec/journals/jss/OvereemSJB21,https://doi.org/10.1016/j.jss.2021.110970,110970,178,,,,10.1016/J.JSS.2021.110970
54,Schema Evolution,Schema,Evolution,Remaining in Control of the Impact of Schema Evolution in NoSQL Databases.,"['Andrea Hillenbrand', 'Stefanie Scherzinger', 'Uta Störl']",2021,ER,Conference and Workshop Papers,conf/er/HillenbrandSS21,https://dblp.org/rec/conf/er/HillenbrandSS21,https://doi.org/10.1007/978-3-030-89022-3_13,149-159,,,,,10.1007/978-3-030-89022-3_13
55,Schema Evolution,Schema,Evolution,Cambria: Schema Evolution in Distributed Systems with Edit Lenses.,"['Geoffrey Litt', 'Peter van Hardenberg', 'Orion Henry']",2021,PaPoC@EuroSys,Conference and Workshop Papers,conf/eurosys/LittHH21,https://dblp.org/rec/conf/eurosys/LittHH21,https://doi.org/10.1145/3447865.3457963,8:1-8:9,,,,,10.1145/3447865.3457963
56,Schema Evolution,Schema,Evolution,Der BACKCHASE zur Unterstützung von Data Provenance und Schema-Evolution.,"['Florian Rose', 'Andreas Heuer 0001']",2021,GvDB,Conference and Workshop Papers,conf/gvd/Rose021,https://dblp.org/rec/conf/gvd/Rose021,https://ceur-ws.org/Vol-3075/paper8.pdf,,,,,,
57,Schema Evolution,Schema,Evolution,Profiles of Schema Evolution in Free Open Source Software Projects.,['Panos Vassiliadis'],2021,ICDE,Conference and Workshop Papers,conf/icde/Vassiliadis21,https://dblp.org/rec/conf/icde/Vassiliadis21,https://doi.org/10.1109/ICDE51399.2021.00008,1-12,,,,,10.1109/ICDE51399.2021.00008
58,Schema Evolution,Schema,Evolution,BullFrog: Online Schema Evolution via Lazy Evaluation.,"['Souvik Bhattacherjee', 'Gang Liao', 'Michael Hicks 0001', 'Daniel J. Abadi']",2021,SIGMOD Conference,Conference and Workshop Papers,conf/sigmod/BhattacherjeeLH21,https://dblp.org/rec/conf/sigmod/BhattacherjeeLH21,https://doi.org/10.1145/3448016.3452842,194-206,,,,,10.1145/3448016.3452842
59,Schema Evolution,Schema,Evolution,EvoBench: Benchmarking Schema Evolution in NoSQL.,"['André Conrad', 'Mark Lukas Möller', 'Tobias Kreiter', 'Jan-Christopher Mair', 'Meike Klettke', 'Uta Störl']",2021,TPCTC,Conference and Workshop Papers,conf/tpctc/ConradMKMKS21,https://dblp.org/rec/conf/tpctc/ConradMKMKS21,https://doi.org/10.1007/978-3-030-94437-7_3,33-49,,,,,10.1007/978-3-030-94437-7_3
60,Schema Evolution,Schema,Evolution,Assessing the Occurrence of Blocking Operations in Database Schema Evolution: A Case Study.,"['Willie Lawrence', 'Eiji Adachi Barbosa']",2021,VEM,Conference and Workshop Papers,conf/vem/LawrenceB21,https://dblp.org/rec/conf/vem/LawrenceB21,https://doi.org/10.5753/vem.2021.17209,6-10,,,,,10.5753/VEM.2021.17209
61,Schema Evolution,Schema,Evolution,An Empirical Characterization of Event Sourced Systems and Their Schema Evolution - Lessons from Industry.,"['Michiel Overeem', 'Marten Spoor', 'Slinger Jansen', 'Sjaak Brinkkemper']",2021,CoRR,Informal and Other Publications,journals/corr/abs-2104-01146,https://dblp.org/rec/journals/corr/abs-2104-01146,https://arxiv.org/abs/2104.01146,,abs/2104.01146,,,,
62,Schema Evolution,Schema,Evolution,Research of Schema Evolution and Implementation Scheme Optimization in AI-Enabled Embedded Systems.,[],2021,Wirel. Commun. Mob. Comput.,Withdrawn Items,journals/wicomm/ZhangZZY21,https://dblp.org/rec/journals/wicomm/ZhangZZY21,https://doi.org/10.1155/2021/3591427,3591427:1-3591427:10,2021,,,,10.1155/2021/3591427
63,Schema Evolution,Schema,Evolution,EvoBench - A Framework for Benchmarking Schema Evolution in NoSQL.,"['Mark Lukas Möller', 'Meike Klettke', 'Uta Störl']",2020,IEEE BigData,Conference and Workshop Papers,conf/bigdataconf/MollerKS20,https://dblp.org/rec/conf/bigdataconf/MollerKS20,https://doi.org/10.1109/BigData50022.2020.9378278,1974-1984,,,,,10.1109/BIGDATA50022.2020.9378278
64,Schema Evolution,Schema,Evolution,Why It Is Time for Yet Another Schema Evolution Benchmark - Visionary Paper.,"['Mark Lukas Möller', 'Stefanie Scherzinger', 'Meike Klettke', 'Uta Störl']",2020,CAiSE Forum,Conference and Workshop Papers,conf/caise/MollerSKS20,https://dblp.org/rec/conf/caise/MollerSKS20,https://doi.org/10.1007/978-3-030-58135-0_10,113-125,,,,,10.1007/978-3-030-58135-0_10
65,Schema Evolution,Schema,Evolution,PolyMigrate: Dynamic Schema Evolution and Data Migration in a Distributed Polystore.,"['Alexander Stiemer', 'Marco Vogt 0001', 'Heiko Schuldt', 'Uta Störl']",2020,Poly/DMAH@VLDB,Conference and Workshop Papers,conf/dmah-ws/StiemerVSS20,https://dblp.org/rec/conf/dmah-ws/StiemerVSS20,https://doi.org/10.1007/978-3-030-71055-2_4,42-53,,,,,10.1007/978-3-030-71055-2_4
66,Schema Evolution,Schema,Evolution,NoSQL Schema Evolution and Data Migration: State-of-the-Art and Opportunities.,"['Uta Störl', 'Meike Klettke', 'Stefanie Scherzinger']",2020,EDBT,Conference and Workshop Papers,conf/edbt/StorlKS20,https://dblp.org/rec/conf/edbt/StorlKS20,https://doi.org/10.5441/002/edbt.2020.87,655-658,,,,,10.5441/002/EDBT.2020.87
67,Schema Evolution,Schema,Evolution,Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.,"['Dimitri Braininger', 'Wolfgang Mauerer', 'Stefanie Scherzinger']",2020,ER,Conference and Workshop Papers,conf/er/BrainingerMS20,https://dblp.org/rec/conf/er/BrainingerMS20,https://doi.org/10.1007/978-3-030-65847-2_19,210-219,,,,,10.1007/978-3-030-65847-2_19
68,Schema Evolution,Schema,Evolution,A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.,"['Konstantinos Dimolikas', 'Apostolos V. Zarras', 'Panos Vassiliadis']",2020,ER,Conference and Workshop Papers,conf/er/DimolikasZV20,https://dblp.org/rec/conf/er/DimolikasZV20,https://doi.org/10.1007/978-3-030-62522-1_34,456-470,,,,,10.1007/978-3-030-62522-1_34
69,Schema Evolution,Schema,Evolution,An Empirical Study on the Design and Evolution of NoSQL Database Schemas.,"['Stefanie Scherzinger', 'Sebastian Sidortschuck']",2020,ER,Conference and Workshop Papers,conf/er/ScherzingerS20,https://dblp.org/rec/conf/er/ScherzingerS20,https://doi.org/10.1007/978-3-030-62522-1_33,441-455,,,,,10.1007/978-3-030-62522-1_33
70,Schema Evolution,Schema,Evolution,Towards Self-Adapting Data Migration in the Context of Schema Evolution in NoSQL Databases.,"['Andrea Hillenbrand', 'Uta Störl', 'Maksym Levchenko', 'Shamil Nabiyev', 'Meike Klettke']",2020,ICDE Workshops,Conference and Workshop Papers,conf/icde/HillenbrandSLNK20,https://dblp.org/rec/conf/icde/HillenbrandSLNK20,https://doi.org/10.1109/ICDEW49219.2020.00013,133-138,,,,,10.1109/ICDEW49219.2020.00013
71,Schema Evolution,Schema,Evolution,Analysis of iOS SQLite Schema Evolution for Updating Forensic Data Extraction Tools.,"['Samiha S. Shimmi', 'Gokila Dorai', 'Umit Karabiyik', 'Sudhir Aggarwal']",2020,ISDFS,Conference and Workshop Papers,conf/isdfs/ShimmiDKA20,https://dblp.org/rec/conf/isdfs/ShimmiDKA20,https://doi.org/10.1109/ISDFS49300.2020.9116208,1-7,,,,,10.1109/ISDFS49300.2020.9116208
72,Schema Evolution,Schema,Evolution,Schema Evolution and Reproducibility of Long-term Hydrographic Data Sets at the IOW.,"['Tanja Auge', 'Erik Manthey', 'Susanne Jürgensmann', 'Susanne Feistel', 'Andreas Heuer 0001']",2020,LWDA,Conference and Workshop Papers,conf/lwa/AugeMJF020,https://dblp.org/rec/conf/lwa/AugeMJF020,https://ceur-ws.org/Vol-2738/LWDA2020_paper_19.pdf,258-269,,,,,
73,Schema Evolution,Schema,Evolution,Schema Evolution in Hybrid Databases Systems.,['Maxime Gobert 0001'],2020,PhD@VLDB,Conference and Workshop Papers,conf/vldb/Gobert20,https://dblp.org/rec/conf/vldb/Gobert20,https://ceur-ws.org/Vol-2652/paper08.pdf,,,,,,
74,Schema Evolution,Schema,Evolution,An Empirical Study on the Design and Evolution of NoSQL Database Schemas.,"['Stefanie Scherzinger', 'Sebastian Sidortschuck']",2020,CoRR,Informal and Other Publications,journals/corr/abs-2003-00054,https://dblp.org/rec/journals/corr/abs-2003-00054,https://arxiv.org/abs/2003.00054,,abs/2003.00054,,,,
75,Schema Evolution,Schema,Evolution,Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.,"['Dimitri Braininger', 'Wolfgang Mauerer', 'Stefanie Scherzinger']",2020,CoRR,Informal and Other Publications,journals/corr/abs-2008-10925,https://dblp.org/rec/journals/corr/abs-2008-10925,https://arxiv.org/abs/2008.10925,,abs/2008.10925,,,,
76,Schema Evolution,Schema,Evolution,"Schema evolution and foreign keys: a study on usage, heartbeat of change and relationship of foreign keys to table activity.","['Panos Vassiliadis', 'Michail-Romanos Kolozoff', 'Maria Zerva', 'Apostolos V. Zarras']",2019,Computing,Journal Articles,journals/computing/VassiliadisKZZ19,https://dblp.org/rec/journals/computing/VassiliadisKZZ19,https://doi.org/10.1007/s00607-019-00702-x,1431-1456,101,10,,,10.1007/S00607-019-00702-X
77,Schema Evolution,Schema,Evolution,The evolution of schematic representations of flow shop scheduling problems.,"['S. S. Panwalkar', 'Christos Koulamas']",2019,J. Sched.,Journal Articles,journals/scheduling/PanwalkarK19,https://dblp.org/rec/journals/scheduling/PanwalkarK19,https://doi.org/10.1007/s10951-018-0594-9,379-391,22,4,,,10.1007/S10951-018-0594-9
78,Schema Evolution,Schema,Evolution,VESEL: VisuaL Exploration of Schema Evolution using Provenance Queries.,"['Christos Athinaiou', 'Haridimos Kondylakis']",2019,EDBT/ICDT Workshops,Conference and Workshop Papers,conf/edbt/AthinaiouK19,https://dblp.org/rec/conf/edbt/AthinaiouK19,https://ceur-ws.org/Vol-2322/BigVis_9.pdf,,,,,,
79,Schema Evolution,Schema,Evolution,Schema Validation and Evolution for Graph Databases.,"['Angela Bonifati', 'Peter Furniss', 'Alastair Green', 'Russ Harmer', 'Eugenia Oshurko', 'Hannes Voigt']",2019,ER,Conference and Workshop Papers,conf/er/BonifatiFGHOV19,https://dblp.org/rec/conf/er/BonifatiFGHOV19,https://doi.org/10.1007/978-3-030-33223-5_37,448-456,,,,,10.1007/978-3-030-33223-5_37
80,Schema Evolution,Schema,Evolution,An Evolutionary Task Offloading Schema for Edge Computing.,"['Pei Sun', 'Baojing Chen', 'Shaocong Han', 'Huizhong Shi', 'Zhenwei Yang', 'Xing Li']",2019,ICBDS,Conference and Workshop Papers,conf/icbds/SunCHSYL19,https://dblp.org/rec/conf/icbds/SunCHSYL19,https://doi.org/10.1007/978-981-15-7530-3_40,529-540,,,,,10.1007/978-981-15-7530-3_40
81,Schema Evolution,Schema,Evolution,A Generic Approach to Schema Evolution in Live Relational Databases.,"['Anna O&apos;Faoláin de Bhróithe', 'Fritz Heiden', 'Alena Schemmert', 'Dschialin Phan', 'Lillian Hung', 'Jörn Freiheit', 'Frank Fuchs-Kittowski']",2019,ISAT,Conference and Workshop Papers,conf/isat/BhroitheHSPHFF19,https://dblp.org/rec/conf/isat/BhroitheHSPHFF19,https://doi.org/10.1007/978-3-030-30440-9_11,105-118,,,,,10.1007/978-3-030-30440-9_11
82,Schema Evolution,Schema,Evolution,Finding conservative schema evolutions by analysing API changes.,"['Lynda Ait Oubelli', 'Yamine Aït Ameur', 'Judicaël Bedouet', 'Benoît Chausserie-Lapree', 'Béatrice Larzul']",2019,SEKE,Conference and Workshop Papers,conf/seke/OubelliABCL19,https://dblp.org/rec/conf/seke/OubelliABCL19,https://doi.org/10.18293/SEKE2019-132,748-777,,,,,10.18293/SEKE2019-132
83,Schema Evolution,Schema,Evolution,Schema Validation and Evolution for Graph Databases.,"['Angela Bonifati', 'Peter Furniss', 'Alastair Green', 'Russ Harmer', 'Eugenia Oshurko', 'Hannes Voigt']",2019,CoRR,Informal and Other Publications,journals/corr/abs-1902-06427,https://dblp.org/rec/journals/corr/abs-1902-06427,http://arxiv.org/abs/1902.06427,,abs/1902.06427,,,,
84,Schema Evolution,Schema,Evolution,Weibull-based scaled-differences schema for Differential Evolution.,['Miguel Cárdenas-Montes'],2018,Swarm Evol. Comput.,Journal Articles,journals/swevo/Montes18,https://dblp.org/rec/journals/swevo/Montes18,https://doi.org/10.1016/j.swevo.2017.06.004,79-93,38,,,,10.1016/J.SWEVO.2017.06.004
85,Schema Evolution,Schema,Evolution,Dependency-Based Query/View Synchronization upon Schema Evolutions.,"['Loredana Caruccio', 'Giuseppe Polese', 'Genoveffa Tortora']",2018,ER Workshops,Conference and Workshop Papers,conf/er/CaruccioPT18,https://dblp.org/rec/conf/er/CaruccioPT18,https://doi.org/10.1007/978-3-030-01391-2_17,91-105,,,,,10.1007/978-3-030-01391-2_17
