key;EID;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
conf/adbis/HerrmannVBL15;2-s2.0-84944599941;;;;;;;;CoDEL - A Relationally Complete Language for Database Evolution.;Kai Herrmann , Hannes Voigt, Andreas Behrend, Wolfgang Lehner;2015;ADBIS;Conference and Workshop Papers;https://dblp.org/rec/conf/adbis/HerrmannVBL15;https://doi.org/10.1007/978-3-319-23135-8_5;63-76;;;;;10.1007/978-3-319-23135-8_5
conf/adbis/JannaschkJT14;2-s2.0-84906690417;307;401;680;307: Model-Independent;401: General Framework;680: General observations/concepts/guidelines around schema evolution;(Change management) Conceptual framework for change management in relational dbs;Technologies for Databases Change Management.;Kai Jannaschk, Hannu Jaakkola, Bernhard Thalheim;2014;ADBIS;Conference and Workshop Papers;https://dblp.org/rec/conf/adbis/JannaschkJT14;https://doi.org/10.1007/978-3-319-10518-5_21;271-285;;;;;10.1007/978-3-319-10518-5_21
conf/adbis/Subotic14;2-s2.0-84906708379;;;;;;;General Framework? Research proposal (reject?),;Data Warehouse Schema Evolution Perspectives.;Danijela Subotic;2014;ADBIS;Conference and Workshop Papers;https://dblp.org/rec/conf/adbis/Subotic14;https://doi.org/10.1007/978-3-319-10518-5_26;333-338;;;;;10.1007/978-3-319-10518-5_26
conf/adc/HaiTTL15;2-s2.0-84959431808;;;;;;;;SCIT: A Schema Change Interpretation Tool for Dynamic-Schema Data Warehouses.;Rihan Hai , Vasileios Theodorou, Maik Thiele, Wolfgang Lehner;2015;ADC;Conference and Workshop Papers;https://dblp.org/rec/conf/adc/HaiTTL15;https://doi.org/10.1007/978-3-319-19548-3_28;323-327;;;;;10.1007/978-3-319-19548-3_28
conf/bdiot2/BrahmiaB0B21;2-s2.0-85135017089;305;421, 413;677;305: NoSQL (Graph/ JSON/Key-Value/Other);"421: Algorithm (fully automated)
413: Language";677: Schema version management techniques;Schema versioning in JSON documents;Implicit JSON Schema Versioning Triggered by Temporal Updates to JSON-Based Big Data in the τJSchema Framework.;Zouhaier Brahmia, Safa Brahmia, Fabio Grandi , Rafik Bouaziz;2021;BDIoT;Conference and Workshop Papers;https://dblp.org/rec/conf/bdiot2/BrahmiaB0B21;https://doi.org/10.1007/978-3-031-07969-6_3;32-47;;;;;10.1007/978-3-031-07969-6_3
conf/bigdataconf/KlettkeSSS16;2-s2.0-85015214779;;;;;;;;NoSQL schema evolution and big data migration at scale.;Meike Klettke, Uta Störl, Manuel Shenavai, Stefanie Scherzinger;2016;IEEE BigData;Conference and Workshop Papers;https://dblp.org/rec/conf/bigdataconf/KlettkeSSS16;https://doi.org/10.1109/BigData.2016.7840924;2764-2774;;;;;10.1109/BIGDATA.2016.7840924
conf/bigdataconf/MollerKS20;2-s2.0-85103823855;305;403;676;305: NoSQL (Graph/ JSON/Key-Value/Other);403: Benchmark;676: Benchmarks to simulate schema change;Benchmark for evaluation of data migration strategies during NoSQL schema evolution;EvoBench - A Framework for Benchmarking Schema Evolution in NoSQL.;Mark Lukas Möller, Meike Klettke, Uta Störl;2020;IEEE BigData;Conference and Workshop Papers;https://dblp.org/rec/conf/bigdataconf/MollerKS20;https://doi.org/10.1109/BigData50022.2020.9378278;1974-1984;;;;;10.1109/BIGDATA50022.2020.9378278
conf/bigdataconf/StonebrakerDB16;2-s2.0-85015237295;;;;;;;;Database decay and how to avoid it.;Michael Stonebraker, Dong Deng , Michael L. Brodie;2016;IEEE BigData;Conference and Workshop Papers;https://dblp.org/rec/conf/bigdataconf/StonebrakerDB16;https://doi.org/10.1109/BigData.2016.7840584;Ιουλ-16;;;;;10.1109/BIGDATA.2016.7840584
conf/bigdataconf/Suarez-OteroMST20;2-s2.0-85103828029;305;422;661, 632;305: NoSQL (Graph/ JSON/Key-Value/Other);422: Method (not fully automated);"661: Method/guidelines/hints on how to evolve a schema as a sequence of steps
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";(Schema change mapping among models) Map conceptual model changes to schema updates on a ColumnDB (preliminary work of 222);Maintaining NoSQL Database Quality During Conceptual Model Evolution.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2020;IEEE BigData;Conference and Workshop Papers;https://dblp.org/rec/conf/bigdataconf/Suarez-OteroMST20;https://doi.org/10.1109/BigData50022.2020.9378228;2043-2048;;;;;10.1109/BIGDATA50022.2020.9378228
conf/bpm/ChiaoKR12;2-s2.0-84873183126;309;401;680;309: Other;401: General Framework;680: General observations/concepts/guidelines around schema evolution;Schema evolution of exchanged objects in business processes, Case study requirements and challenges;Schema Evolution in Object and Process-Aware Information Systems: Issues and Challenges.;Carolina Ming Chiao, Vera Künzle, Manfred Reichert;2012;Business Process Management Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/bpm/ChiaoKR12;https://doi.org/10.1007/978-3-642-36285-9_37;328-339;;;;;10.1007/978-3-642-36285-9_37
conf/btw/HauboldSSD17;2-s2.0-85026647985;;;;;;;;ControVol Flex: Flexible Schema Evolution for NoSQL Application Development.;Florian Haubold, Johannes Schildgen, Stefanie Scherzinger, Stefan Deßloch;2017;BTW;Conference and Workshop Papers;https://dblp.org/rec/conf/btw/HauboldSSD17;https://dl.gi.de/handle/20.500.12116/664;601-604;;;;;
conf/btw/ScherzingerKS15;2-s2.0-85018181175;;;;;;;;Cleager: Eager Schema Evolution in NoSQL Document Stores.;Stefanie Scherzinger, Meike Klettke, Uta Störl;2015;BTW;Conference and Workshop Papers;https://dblp.org/rec/conf/btw/ScherzingerKS15;https://dl.gi.de/handle/20.500.12116/2440;659-662;;;;;
