Fulltext;key;EID;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
Y;conf/models/Gotz015;2-s2.0-84954564351;Models@run.time for Object-Relational Mapping Supporting Schema Evolution.;Sebastian Götz, Thomas Kühn;2015;Models@run.time;Conference and Workshop Papers;https://dblp.org/rec/conf/models/Gotz015;https://ceur-ws.org/Vol-1474/MRT15_paper_10.pdf;41-50;;;;;
Y;conf/models/Hausler24;2-s2.0-85212208283;Estimation, Impact and Visualization of Schema Evolution in Graph Databases.;Dominique Hausler;2024;MoDELS;Conference and Workshop Papers;https://dblp.org/rec/conf/models/Hausler24;https://doi.org/10.1145/3652620.3688196;123-129;;;;;10.1145/3652620.3688196
Y;conf/models/HauslerK24;2-s2.0-85212233878;Nautilus: Implementation of an Evolution Approach for Graph Databases.;Dominique Hausler, Meike Klettke;2024;MoDELS;Conference and Workshop Papers;https://dblp.org/rec/conf/models/HauslerK24;https://doi.org/10.1145/3652620.3687781;Νοε-15;;;;;10.1145/3652620.3687781
Y;conf/modelsward/HillenbrandS22;2-s2.0-85172766050;Automated Curation of Variational Data in NoSQL Databases through Metric-driven Self-adaptive Migration Strategies.;Andrea Hillenbrand, Uta Störl;2022;MODELSWARD;Conference and Workshop Papers;https://dblp.org/rec/conf/modelsward/HillenbrandS22;https://doi.org/10.5220/0010891300003119;279-286;;;;;10.5220/0010891300003119
Y;conf/modelsward/HillenbrandS22a;2-s2.0-85172136418;Managing Schema Migration in NoSQL Databases: Advisor Heuristics vs. Self-adaptive Schema Migration Strategies.;Andrea Hillenbrand, Uta Störl;2022;MODELSWARD;Conference and Workshop Papers;https://dblp.org/rec/conf/modelsward/HillenbrandS22a;https://doi.org/10.1007/978-3-031-38821-7_11;230-253;;;;;10.1007/978-3-031-38821-7_11
Y;conf/mompes/MoriC12;2-s2.0-84879865774;Feature-Based Adaptation of Database Schemas.;Marco Mori, Anthony Cleve;2012;MOMPES;Conference and Workshop Papers;https://dblp.org/rec/conf/mompes/MoriC12;https://doi.org/10.1007/978-3-642-38209-3_6;85-105;;;;;10.1007/978-3-642-38209-3_6
Y;conf/oopsla/SalamaMR12;2-s2.0-84869771732;A methodology for managing database and code changes in a regression testing framework.;Roberto Salama, James McGuire, Michael K. Rosenberg;2012;SPLASH;Conference and Workshop Papers;https://dblp.org/rec/conf/oopsla/SalamaMR12;https://doi.org/10.1145/2384716.2384766;117-120;;;;;10.1145/2384716.2384766
Y;conf/otm/Balsters12;2-s2.0-84873824623;ORM Logic-Based English (OLE) and the ORM ReDesigner Tool: Fact-Based Reengineering and Migration of Relational Databases.;Herman Balsters;2012;OTM Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/otm/Balsters12;https://doi.org/10.1007/978-3-642-33618-8_50;358-367;;;;;10.1007/978-3-642-33618-8_50
Y;conf/otm/MoesWBH12;2-s2.0-84873823740;A Validatable Legacy Database Migration Using ORM.;Tjeerd H. Moes, Jan Pieter Wijbenga, Herman Balsters, George B. Huitema;2012;OTM Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/otm/MoesWBH12;https://doi.org/10.1007/978-3-642-33618-8_55;409-418;;;;;10.1007/978-3-642-33618-8_55
Y;conf/otm/NecaskyMK11;2-s2.0-81255166891;Model-Driven Approach to XML Schema Evolution.;Martin Necaský, Irena Mlýnková, Jakub Klímek;2011;OTM Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/otm/NecaskyMK11;https://doi.org/10.1007/978-3-642-25126-9_63;514-523;;;;;10.1007/978-3-642-25126-9_63
Y;conf/pldi/RennerSBLS21;2-s2.0-85108906384;"Scooter &amp; Sidecar: a domain-specific approach to writing secure database migrations.";John Renner, Alex Sanchez-Stern, Fraser Brown, Sorin Lerner, Deian Stefan;2021;PLDI;Conference and Workshop Papers;https://dblp.org/rec/conf/pldi/RennerSBLS21;https://doi.org/10.1145/3453483.3454072;710-724;;;;;10.1145/3453483.3454072
Y;conf/qrs/MeuriceNC16;2-s2.0-84995503678;Detecting and Preventing Program Inconsistencies under Database Schema Evolution.;Loup Meurice, Csaba Nagy , Anthony Cleve;2016;QRS;Conference and Workshop Papers;https://dblp.org/rec/conf/qrs/MeuriceNC16;https://doi.org/10.1109/QRS.2016.38;262-273;;;;;10.1109/QRS.2016.38
Y;conf/RelMiCS/JoostenJ24;2-s2.0-85201975358;Data Migration Under a Changing Schema in Ampersand.;Sebastiaan J. C. Joosten, Stef Joosten;2024;RAMiCS;Conference and Workshop Papers;https://dblp.org/rec/conf/RelMiCS/JoostenJ24;https://doi.org/10.1007/978-3-031-68279-7_11;175-192;;;;;10.1007/978-3-031-68279-7_11
Y;conf/sac/PicalausaSZ11;2-s2.0-79959289097;XEvolve: an XML schema evolution framework.;François Picalausa, Frédéric Servais, Esteban Zimányi;2011;SAC;Conference and Workshop Papers;https://dblp.org/rec/conf/sac/PicalausaSZ11;https://doi.org/10.1145/1982185.1982530;1645-1650;;;;;10.1145/1982185.1982530
Y;conf/scam/FinkGC20;2-s2.0-85097643045;Adapting Queries to Database Schema Changes in Hybrid Polystores.;Jérôme Fink, Maxime Gobert , Anthony Cleve;2020;SCAM;Conference and Workshop Papers;https://dblp.org/rec/conf/scam/FinkGC20;https://doi.org/10.1109/SCAM51674.2020.00019;127-131;;;;;10.1109/SCAM51674.2020.00019
Y;conf/seke/OubelliABCL19;2-s2.0-85071360392;Finding conservative schema evolutions by analysing API changes.;Lynda Ait Oubelli, Yamine Aït Ameur, Judicaël Bedouet, Benoît Chausserie-Lapree, Béatrice Larzul;2019;SEKE;Conference and Workshop Papers;https://dblp.org/rec/conf/seke/OubelliABCL19;https://doi.org/10.18293/SEKE2019-132;748-777;;;;;10.18293/SEKE2019-132
Y;conf/semweb/BaronciniMSSP22;2-s2.0-85142359880;Analysing the Evolution of Community-Driven (Sub-)Schemas within Wikidata.;Sofia Baroncini, Margherita Martorana, Mario Scrocca, Zuzanna Smiech, Axel Polleres;2022;Wikidata@ISWC;Conference and Workshop Papers;https://dblp.org/rec/conf/semweb/BaronciniMSSP22;https://ceur-ws.org/Vol-3262/paper5.pdf;;;;;;
Y;conf/sigmod/BhattacherjeeLH21;2-s2.0-85108970404;BullFrog: Online Schema Evolution via Lazy Evaluation.;Souvik Bhattacherjee, Gang Liao, Michael Hicks , Daniel J. Abadi;2021;SIGMOD Conference;Conference and Workshop Papers;https://dblp.org/rec/conf/sigmod/BhattacherjeeLH21;https://doi.org/10.1145/3448016.3452842;194-206;;;;;10.1145/3448016.3452842
Y;conf/sigmod/HerrmannVBRL17;2-s2.0-85021194591;Living in Parallel Realities: Co-Existing Schema Versions with a Bidirectional Database Evolution Language.;Kai Herrmann , Hannes Voigt, Andreas Behrend, Jonas Rausch, Wolfgang Lehner;2017;SIGMOD Conference;Conference and Workshop Papers;https://dblp.org/rec/conf/sigmod/HerrmannVBRL17;https://doi.org/10.1145/3035918.3064046;1101-1116;;;;;10.1145/3035918.3064046
Y;conf/sigsoft/QiuLS13;2-s2.0-84883716265;An empirical analysis of the co-evolution of schema and code in database applications.;Dong Qiu, Bixin Li, Zhendong Su;2013;ESEC/SIGSOFT FSE;Conference and Workshop Papers;https://dblp.org/rec/conf/sigsoft/QiuLS13;https://doi.org/10.1145/2491411.2491431;125-135;;;;;10.1145/2491411.2491431
Y;conf/splc/0001LPP23;2-s2.0-85176013364;Adapting the Database to Feature Changes in Software Product Lines.;Alejandro Cortiñas , Miguel R. Luaces, Oscar Pedreira, Ángeles Saavedra Places;2023;SPLC;Conference and Workshop Papers;https://dblp.org/rec/conf/splc/0001LPP23;https://doi.org/10.1145/3579027.3608990;194-200;;;;;10.1145/3579027.3608990
Y;conf/splc/Klettke25;2-s2.0-105017224476;Evolution of Relational Databases, NoSQL and Graph Databases.;Meike Klettke;2025;SPLC;Conference and Workshop Papers;https://dblp.org/rec/conf/splc/Klettke25;https://doi.org/10.1145/3744915.3749150;1;;;;;10.1145/3744915.3749150
Y;conf/ssdbm/SchulerK18;2-s2.0-85054936365;Towards an efficient and effective framework for the evolution of scientific databases.;Robert E. Schuler, Carl Kesselman;2018;SSDBM;Conference and Workshop Papers;https://dblp.org/rec/conf/ssdbm/SchulerK18;https://doi.org/10.1145/3221269.3221300;27:1-27:4;;;;;10.1145/3221269.3221300
Y;conf/ssdbm/SchulerK19;2-s2.0-85071260825;A High-level User-oriented Framework for Database Evolution.;Robert E. Schuler, Carl Kesselman;2019;SSDBM;Conference and Workshop Papers;https://dblp.org/rec/conf/ssdbm/SchulerK19;https://doi.org/10.1145/3335783.3335787;157-168;;;;;10.1145/3335783.3335787
Y;conf/tapp/GaoZ12;2-s2.0-85090511380;Provenance Management in Databases Under Schema Evolution.;Shi Gao, Carlo Zaniolo;2012;TaPP;Conference and Workshop Papers;https://dblp.org/rec/conf/tapp/GaoZ12;https://www.usenix.org/conference/tapp12/workshop-program/presentation/gao;;;;;;
Y;conf/tpctc/ConradMKMKS21;2-s2.0-85124005675;EvoBench: Benchmarking Schema Evolution in NoSQL.;André Conrad, Mark Lukas Möller, Tobias Kreiter, Jan-Christopher Mair, Meike Klettke, Uta Störl;2021;TPCTC;Conference and Workshop Papers;https://dblp.org/rec/conf/tpctc/ConradMKMKS21;https://doi.org/10.1007/978-3-030-94437-7_3;33-49;;;;;10.1007/978-3-030-94437-7_3
Y;conf/trustcom/BaqasahPHR13;2-s2.0-84893516793;On Change Detection of XML Schemas.;Abdullah M. Baqasah, Eric Pardede, Irena Holubová, J. Wenny Rahayu;2013;TrustCom/ISPA/IUCC;Conference and Workshop Papers;https://dblp.org/rec/conf/trustcom/BaqasahPHR13;https://doi.org/10.1109/TrustCom.2013.119;974-982;;;;;10.1109/TRUSTCOM.2013.119
Y;conf/vldb/Andre23;2-s2.0-85169437281;Automated Database Schema Evolution in Microservices.;Maxime André;2023;PhD@VLDB;Conference and Workshop Papers;https://dblp.org/rec/conf/vldb/Andre23;https://ceur-ws.org/Vol-3452/paper10.pdf;37-40;;;;;
Y;conf/waim/XueSNKY12;2-s2.0-84865614969;A Transparent Approach for Database Schema Evolution Using View Mechanism.;Jianxin Xue, Derong Shen, Tiezheng Nie, Yue Kou, Ge Yu;2012;WAIM;Conference and Workshop Papers;https://dblp.org/rec/conf/waim/XueSNKY12;https://doi.org/10.1007/978-3-642-32281-5_40;405-418;;;;;10.1007/978-3-642-32281-5_40
Y;conf/wcre/AfonsoSCMCG20;2-s2.0-85083572792;LESSQL: Dealing with Database Schema Changes in Continuous Deployment.;Ariel Afonso, Altigran S. da Silva, Tayana Conte, Paulo Martins , João M. B. Cavalcanti, Alessandro Garcia;2020;SANER;Conference and Workshop Papers;https://dblp.org/rec/conf/wcre/AfonsoSCMCG20;https://doi.org/10.1109/SANER48275.2020.9054796;138-148;;;;;10.1109/SANER48275.2020.9054796
Y;conf/wcre/MeuriceC17;2-s2.0-85018415398;Supporting schema evolution in schema-less NoSQL data stores.;Loup Meurice, Anthony Cleve;2017;SANER;Conference and Workshop Papers;https://dblp.org/rec/conf/wcre/MeuriceC17;https://doi.org/10.1109/SANER.2017.7884653;457-461;;;;;10.1109/SANER.2017.7884653
Y;conf/webist/AkazawaMS20;2-s2.0-85107112945;Transforming Property Path Query According to Shape Expression Schema Update.;Goki Akazawa, Naoto Matsubara, Nobutaka Suzuki;2020;WEBIST;Conference and Workshop Papers;https://dblp.org/rec/conf/webist/AkazawaMS20;https://doi.org/10.5220/0010173002920298;292-298;;;;;10.5220/0010173002920298
Y;conf/wism/ZhangLS11;2-s2.0-80053401242;Data Privacy Preservation during Schema Evolution for Multi-tenancy Applications in Cloud Computing.;Kun Zhang , Qingzhong Li, Yuliang Shi;2011;WISM;Conference and Workshop Papers;https://dblp.org/rec/conf/wism/ZhangLS11;https://doi.org/10.1007/978-3-642-23971-7_47;376-383;;;;;10.1007/978-3-642-23971-7_47
Y;conf/worldcist/PereiraP14;2-s2.0-84898614532;Towards a Flexible and Transparent Database Evolution.;Rui Humberto R. Pereira, J. Baltasar García Pérez-Schofield;2014;WorldCIST;Conference and Workshop Papers;https://dblp.org/rec/conf/worldcist/PereiraP14;https://doi.org/10.1007/978-3-319-05948-8_3;23-33;;;;;10.1007/978-3-319-05948-8_3
Y;journals/acj/AhmedALSBR11;2-s2.0-84860496510;Using Ontologies to Synchronize Change in Relational Database Systems.;Waqas Ahmed , Muhammad Ahtisham Aslam, Antonio A. Lopez-Lorca, Jun Shen , Ghassan Beydoun, Debbie Richards;2011;J. Res. Pract. Inf. Technol.;Journal Articles;https://dblp.org/rec/journals/acj/AhmedALSBR11;http://ws.acs.org.au/jrpit/JRPITVolumes/JRPIT43/JRPIT43.2.89.pdf;89-108;43;2;;;
Y;journals/cacm/GuhaBM16;2-s2.0-84957916230;Schema.org: evolution of structured data on the web.;Ramanathan V. Guha, Dan Brickley, Steve Macbeth;2016;Commun. ACM;Journal Articles;https://dblp.org/rec/journals/cacm/GuhaBM16;https://doi.org/10.1145/2844544;44-51;59;2;;;10.1145/2844544
Y;journals/cacm/StonebrakerFDB17;2-s2.0-85008626078;What to do about database decay.;Michael Stonebraker, Raul Castro Fernandez, Dong Deng , Michael L. Brodie;2017;Commun. ACM;Journal Articles;https://dblp.org/rec/journals/cacm/StonebrakerFDB17;https://doi.org/10.1145/3014349;11;60;1;;;10.1145/3014349
Y;journals/cai/SilvaPVM12;2-s2.0-84865227618;Search-Based Evolution of XML Schemas.;Julio Cesar Teodoro Silva, Aurora Trinidad Ramirez Pozo, Silvia Regina Vergilio, Martin A. Musicante;2012;Comput. Informatics;Journal Articles;https://dblp.org/rec/journals/cai/SilvaPVM12;http://www.cai.sk/ojs/index.php/cai/article/view/1009;573-;31;3;;;
Y;journals/computing/VassiliadisKZZ19;2-s2.0-85060434447;Schema evolution and foreign keys: a study on usage, heartbeat of change and relationship of foreign keys to table activity.;Panos Vassiliadis, Michail-Romanos Kolozoff, Maria Zerva, Apostolos V. Zarras;2019;Computing;Journal Articles;https://dblp.org/rec/journals/computing/VassiliadisKZZ19;https://doi.org/10.1007/s00607-019-00702-x;1431-1456;101;10;;;10.1007/S00607-019-00702-X
Y;journals/dpd/HillenbrandSNK22;2-s2.0-85105190738;Self-adapting data migration in the context of schema evolution in NoSQL databases.;Andrea Hillenbrand, Uta Störl, Shamil Nabiyev, Meike Klettke;2022;Distributed Parallel Databases;Journal Articles;https://dblp.org/rec/journals/dpd/HillenbrandSNK22;https://doi.org/10.1007/s10619-021-07334-1;Μαϊ-25;40;1;;;10.1007/S10619-021-07334-1
Y;journals/dpd/SchulerK21;2-s2.0-85094139652;CHiSEL: a user-oriented framework for simplifing database evolution.;Robert Schuler, Carl Kesselman;2021;Distributed Parallel Databases;Journal Articles;https://dblp.org/rec/journals/dpd/SchulerK21;https://doi.org/10.1007/s10619-020-07314-x;483-543;39;2;;;10.1007/S10619-020-07314-X
Y;journals/idt/TalebTL14;2-s2.0-84899005771;"A method based on OWL schema for detecting changes between Ontology&apos;s versions.";Nora Taleb, Bornia Tighiouart, Sara Laiche;2014;Intell. Decis. Technol.;Journal Articles;https://dblp.org/rec/journals/idt/TalebTL14;https://doi.org/10.3233/IDT-130176;45-52;8;1;;;10.3233/IDT-130176
Y;journals/ijitwe/BrahmiaGOB14;2-s2.0-84919695234;Schema Change Operations for Full Support of Schema Versioning in the τXSchema Framework.;Zouhaier Brahmia, Fabio Grandi , Barbara Oliboni, Rafik Bouaziz;2014;Int. J. Inf. Technol. Web Eng.;Journal Articles;https://dblp.org/rec/journals/ijitwe/BrahmiaGOB14;https://doi.org/10.4018/ijitwe.2014040102;20-46;9;2;;;10.4018/IJITWE.2014040102
N;journals/ijseke/KongLCCLZ25;2-s2.0-85208027927;Code Recommendation for Schema Evolution of Mimic Storage Systems.;Xianglong Kong, Zhuo Lv, Cen Chen , Hao Chang, Nuannuan Li, Fan Zhang;2025;Int. J. Softw. Eng. Knowl. Eng.;Journal Articles;https://dblp.org/rec/journals/ijseke/KongLCCLZ25;https://doi.org/10.1142/S0218194024500499;89-110;35;1;;;10.1142/S0218194024500499
N;journals/ijwet/BrahmiaGB20;2-s2.0-85103915695;Managing changes to XML schema design styles in a temporal and multi-version XML environment.;Zouhaier Brahmia, Fabio Grandi , Rafik Bouaziz;2020;Int. J. Web Eng. Technol.;Journal Articles;https://dblp.org/rec/journals/ijwet/BrahmiaGB20;https://doi.org/10.1504/IJWET.2020.114028;351-382;15;4;;;10.1504/IJWET.2020.114028
Y;journals/ijwgs/BaqasahPRH15;2-s2.0-84928408970;XS-Diff: XML schema change detection algorithm.;Abdullah M. Baqasah, Eric Pardede, J. Wenny Rahayu, Irena Holubová;2015;Int. J. Web Grid Serv.;Journal Articles;https://dblp.org/rec/journals/ijwgs/BaqasahPRH15;https://doi.org/10.1504/IJWGS.2015.068897;160-192;11;2;;;10.1504/IJWGS.2015.068897
Y;journals/ijwis/ChabinEFH21;2-s2.0-85113663145;Graph rewriting rules for RDF database evolution: optimizing side-effect processing.;Jacques Chabin, Cédric Eichler, Mírian Halfeld Ferrari, Nicolas Hiot;2021;Int. J. Web Inf. Syst.;Journal Articles;https://dblp.org/rec/journals/ijwis/ChabinEFH21;https://doi.org/10.1108/IJWIS-03-2021-0033;622-644;17;6;;;10.1108/IJWIS-03-2021-0033
Y;journals/informaticaLT/KlimekMNH15;2-s2.0-84951735908;eXolutio: Methodology for Design and Evolution of XML Schemas Using Conceptual Modeling.;Jakub Klímek, Jakub Malý, Martin Necaský, Irena Holubová;2015;Informatica;Journal Articles;https://dblp.org/rec/journals/informaticaLT/KlimekMNH15;http://content.iospress.com/articles/informatica/inf1065;453-472;26;3;;;
Y;journals/infsof/DominguezLPRRZ11;2-s2.0-78049527350;Evolution of XML schemas and documents from stereotyped UML class models: A traceable approach.;Eladio Domínguez, Jorge Lloret, Beatriz Pérez , Áurea Rodríguez, Ángel Luis Rubio, María Antonia Zapata;2011;Inf. Softw. Technol.;Journal Articles;https://dblp.org/rec/journals/infsof/DominguezLPRRZ11;https://doi.org/10.1016/j.infsof.2010.08.001;34-50;53;1;;;10.1016/J.INFSOF.2010.08.001
Y;journals/infsof/GrolingerC11;2-s2.0-78751575316;A unit test approach for database schema evolution.;Katarina Grolinger, Miriam A. M. Capretz;2011;Inf. Softw. Technol.;Journal Articles;https://dblp.org/rec/journals/infsof/GrolingerC11;https://doi.org/10.1016/j.infsof.2010.10.002;159-170;53;2;;;10.1016/J.INFSOF.2010.10.002
Y;journals/infsof/SuarezOteroMST25;2-s2.0-105011178140;Data migration for column family database evolution.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2025;Inf. Softw. Technol.;Journal Articles;https://dblp.org/rec/journals/infsof/SuarezOteroMST25;https://doi.org/10.1016/j.infsof.2025.107834;107834;187;;;;10.1016/J.INFSOF.2025.107834
Y;journals/is/QuintarelliRT15;2-s2.0-84919762827;A principled approach to context schema evolution in a data management perspective.;Elisa Quintarelli, Emanuele Rabosio, Letizia Tanca;2015;Inf. Syst.;Journal Articles;https://dblp.org/rec/journals/is/QuintarelliRT15;https://doi.org/10.1016/j.is.2014.11.008;65-101;49;;;;10.1016/J.IS.2014.11.008
Y;journals/is/VassiliadisK22;2-s2.0-85135933984;Taxa and super taxa of schema evolution and their relationship to activity, heartbeat and duration.;Panos Vassiliadis, George Kalampokis;2022;Inf. Syst.;Journal Articles;https://dblp.org/rec/journals/is/VassiliadisK22;https://doi.org/10.1016/j.is.2022.102109;102109;110;;;;10.1016/J.IS.2022.102109
Y;journals/is/VassiliadisZS17;2-s2.0-84983028444;Gravitating to rigidity: Patterns of schema evolution - and its absence - in the lives of tables.;Panos Vassiliadis, Apostolos V. Zarras, Ioannis Skoulis;2017;Inf. Syst.;Journal Articles;https://dblp.org/rec/journals/is/VassiliadisZS17;https://doi.org/10.1016/j.is.2016.06.010;24-46;63;;;;10.1016/J.IS.2016.06.010
Y;journals/is/ZhaoL13;2-s2.0-84878253052;Version management for business process schema evolution.;Xiaohui Zhao , Chengfei Liu;2013;Inf. Syst.;Journal Articles;https://dblp.org/rec/journals/is/ZhaoL13;https://doi.org/10.1016/j.is.2013.03.006;1046-1069;38;8;;;10.1016/J.IS.2013.03.006
Y;journals/isf/HerrmannVRBL18;2-s2.0-85010756258;Robust and simple database evolution.;Kai Herrmann , Hannes Voigt, Jonas Rausch, Andreas Behrend, Wolfgang Lehner;2018;Inf. Syst. Frontiers;Journal Articles;https://dblp.org/rec/journals/isf/HerrmannVRBL18;https://doi.org/10.1007/s10796-016-9730-2;45-61;20;1;;;10.1007/S10796-016-9730-2
