Reviewer2;EID;Authors;AuthorFullNames;AuthorIDs;Title;Year;SourceTitle;Volume;Issue;ArtNo;PageStart;PageEnd;citedBy;doi_lowercase;DOI;Link;DocumentTypeSCOPUS;PublicationStage;OpenAccess;SourceSCOPUS
N;2-s2.0-105000820267;Wu L., Gao P., Lu J., Guo K., Zhang Q.;Wu, Ling (57218995811) | Gao, Pingping (59706204300) | Lu, Jinlu (59657279800) | Guo, Kun (35793494900) | Zhang, Qishan (56178784200);57218995811 | 59706204300 | 59657279800 | 35793494900 | 56178784200;Heterogeneous Information Network Embedding Based on Adaptive Meta-Schema Considering Relation Distinction and Semantic Preservation;2025;Communications in Computer and Information Science;2343 CCIS;;;47;63;;10.1007/978-981-96-2373-0_4;10.1007/978-981-96-2373-0_4;https://www.scopus.com/pages/publications/105000820267?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-105002927495;Hareesh R., Sethukarasi T.;Hareesh, R. (57480886300) | Sethukarasi, T. (56884807400);57480886300 | 56884807400;Migration Technique from Traditional Database to Blockchain Database;2024;2024 International Conference on Integration of Emerging Technologies for the Digital World, ICIETDW 2024;;;;;;;10.1109/icietdw61607.2024.10941500;10.1109/ICIETDW61607.2024.10941500;https://www.scopus.com/pages/publications/105002927495?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-105003271588;Ruan C., Zhang Y., Zhang J., Li C., Ma X., Chen H., Zhou J., Li F., Yang X.;Ruan, Chaoyi (57222518042) | Zhang, Yingqiang (57203820073) | Zhang, Juncheng (58288326000) | Li, Cheng (57221582488) | Ma, Xiaosong (8424540900) | Chen, Hao (59749676300) | Zhou, Jie (59749349400) | Li, Feifei (59802610000) | Yang, Xinjun (57225022512);57222518042 | 57203820073 | 58288326000 | 57221582488 | 8424540900 | 59749676300 | 59749349400 | 59802610000 | 57225022512;Poly Base: Adapting to Data Affinity Changes in Geo-Replicated Database via Row-Level Consensus-Group Affiliation Re-Assignment;2025;Proceedings of the VLDB Endowment;18;3;;702;714;;10.14778/3712221.3712236;10.14778/3712221.3712236;https://www.scopus.com/pages/publications/105003271588?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-105003910130;Siri D., Sangeetha S., Kalaiselvi P., Devayanai V.C., Aljawahry H.M.M., Behl R.;Siri, Dharmapuri (58675627800) | Sangeetha, S. (59761531100) | Kalaiselvi, P. (59761705700) | Devayanai, V.C. (59762054700) | Aljawahry, Haassan M.M. (59563589300) | Behl, Ritin (57216845632);58675627800 | 59761531100 | 59761705700 | 59762054700 | 59563589300 | 57216845632;A Strong and Adaptable Watermarking Methodology for Relational Databases;2025;2025 International Conference on Intelligent Control, Computing and Communications, IC3 2025;;;;1243;1249;;10.1109/ic363308.2025.10956503;10.1109/IC363308.2025.10956503;https://www.scopus.com/pages/publications/105003910130?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-105004409332;Sila D.C., Gunawan A.A.S., Tjong A.W., Syahputra M.E.;Sila, Daniel Caesar (59778822300) | Gunawan, Alexander Agung Santoso (55991217400) | Tjong, Anton Wijaya (59777883500) | Syahputra, Muhammad Edo (57195127076);59778822300 | 55991217400 | 59777883500 | 57195127076;Database Migration to Cloud Computing for Increased Scalability and Efficiency: Systematic Literature Review;2024;Proceedings - 6th International Conference on Informatics, Multimedia, Cyber and Information System, ICIMCIS 2024;;;;212;217;;10.1109/icimcis63449.2024.10957413;10.1109/ICIMCIS63449.2024.10957413;https://www.scopus.com/pages/publications/105004409332?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-105004684018;Sathiyapriya K., Bhavadharinie S., Atchaya R., Kripaa H., Sowmya V.;Sathiyapriya, K. (57193705653) | Bhavadharinie, S. (59797759600) | Atchaya, R. (58749734200) | Kripaa, H. (59796626100) | Sowmya, V. (59795485400);57193705653 | 59797759600 | 58749734200 | 59796626100 | 59795485400;Designing and Migration of Library Database;2023;Journal of Trends in Computer Science and Smart Technology;5;1;;14;29;;10.36548/jtcsst.2023.1.002;10.36548/jtcsst.2023.1.002;https://www.scopus.com/pages/publications/105004684018?origin=resultslist;Article;Final;All Open Access | Gold Open Access;Scopus
Y;2-s2.0-105005063603;Liu Z., Zhang J., Tian T., Shen Z., Yu Y.;Liu, Zesan (57196122560) | Zhang, Jing (59896070800) | Tian, Tian (59896373300) | Shen, Zhihao (59896687900) | Yu, Yangming (59896373400);57196122560 | 59896070800 | 59896373300 | 59896687900 | 59896373400;An automatic SQL Translation method for Domestic Database Migration;2025;Proceedings of SPIE - The International Society for Optical Engineering;13629;;136291O;;;;10.1117/12.3067654;10.1117/12.3067654;https://www.scopus.com/pages/publications/105005063603?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-105005764817;Wright R.J., Langille M.G.I.;Wright, Robyn J. (57209214904) | Langille, Morgan G.I. (8693354000);57209214904 | 8693354000;PICRUSt2-SC: an update to the reference database used for functional prediction within PICRUSt2;2025;Bioinformatics;41;5;btaf269;;;;10.1093/bioinformatics/btaf269;10.1093/bioinformatics/btaf269;https://www.scopus.com/pages/publications/105005764817?origin=resultslist;Article;Final;All Open Access | Gold Open Access | Green Open Access;Scopus
N;2-s2.0-105006427733;Tymchenko O., Havrysh B., Khamula O., Chornyak V.;Tymchenko, Oleksandr (57205173739) | Havrysh, Bohdana (57202210649) | Khamula, Orest (57211300700) | Chornyak, Volodymyr (59916082500);57205173739 | 57202210649 | 57211300700 | 59916082500;Modeling and adapting network databases for complex data structures;2025;CEUR Workshop Proceedings;3963;;;242;251;;;;https://www.scopus.com/pages/publications/105006427733?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-105008161188;Meurice L., Goeminne M., Mens T., Nagy C., Decan A., Cleve A.;Meurice, Loup (55945475600) | Goeminne, Mathieu (36668368400) | Mens, Tom (6701719612) | Nagy, Csaba (26667913000) | Decan, Alexandre (35931990200) | Cleve, Anthony (8694759600);55945475600 | 36668368400 | 6701719612 | 26667913000 | 35931990200 | 8694759600;Analyzing the Evolution of Database Usage in Data-Intensive Software Systems;2018;Software Technology: 10 Years of Innovation in IEEE Computer;;;;208;240;;10.1002/9781119174240.ch12;10.1002/9781119174240.ch12;https://www.scopus.com/pages/publications/105008161188?origin=resultslist;Book chapter;Final;;Scopus
N;2-s2.0-105008220347;Auderset S.;Auderset, Sandra (57200115674);57200115674;Mixtec Sound Change Database 2.0: Integrating Tone Change;2025;Journal of Open Humanities Data;11;;37;;;;10.5334/johd.322;10.5334/johd.322;https://www.scopus.com/pages/publications/105008220347?origin=resultslist;Data paper;Final;All Open Access | Gold Open Access | Green Open Access;Scopus
N;2-s2.0-105008487048;Handa S., Isaacs K.K., Wall J.T., Larger A., Burns S., Koval L.E., Baron-Furuyama K., Elonen C.M., Lyons D., Dionisio K.L., Horton M.B., Phillips K.A.;Handa, Sakshi (57211215727) | Isaacs, Kristin K. (8931289600) | Wall, Jonathan T. (57218653839) | Larger, Allison (59953291000) | Burns, Scott (59953311900) | Koval, Lauren E. (57219293257) | Baron-Furuyama, Kenta (59953286000) | Elonen, Colleen M. (7801360969) | Lyons, David (56835163600) | Dionisio, Kathie L. (6507682587) | Horton, M. Beth (59953307700) | Phillips, Katherine A. (57191224282);57211215727 | 8931289600 | 57218653839 | 59953291000 | 59953311900 | 57219293257 | 59953286000 | 7801360969 | 56835163600 | 6507682587 | 59953307700 | 57191224282;The Chemical and Products Database v4.0, an updated resource supporting chemical exposure evaluations;2025;Scientific Data;12;1;950;;;;10.1038/s41597-025-05240-0;10.1038/s41597-025-05240-0;https://www.scopus.com/pages/publications/105008487048?origin=resultslist;Article;Final;All Open Access | Gold Open Access | Green Open Access;Scopus
N;2-s2.0-105010694211;Zhebka S., Zhebka V., Hulak H., Kyrychok R., Platonenko A.;Zhebka, Serhii (58965277000) | Zhebka, Viktoriia (57203142200) | Hulak, Hennadii (57226691404) | Kyrychok, Roman (57478591600) | Platonenko, Artem (57216485441);58965277000 | 57203142200 | 57226691404 | 57478591600 | 57216485441;Method for Adaptive Allocation of Cryptographic Resources in Distributed Databases;2025;CEUR Workshop Proceedings;3991;;;620;628;;;;https://www.scopus.com/pages/publications/105010694211?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-105011959310;Song H.;Song, Haoyun (58939939800);58939939800;An Adaptive Split Index Scheme for In-Memory Database Systems;2025;2025 5th International Symposium on Computer Technology and Information Science, ISCTIS 2025;;;;477;481;;10.1109/isctis65944.2025.11065324;10.1109/ISCTIS65944.2025.11065324;https://www.scopus.com/pages/publications/105011959310?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-105012567820;Wu X., Xia J.C., West G., Arnold L., Veenendaal B.;Wu, Xiaoying (56111199500) | Xia, Jianhong Cecilia (60028705800) | West, Geoff (7201945896) | Arnold, Lesley (7202014215) | Veenendaal, Bert (6506055740);56111199500 | 60028705800 | 7201945896 | 7202014215 | 6506055740;Managing Schema Evolution in a Federated Spatial Database System;2012;Geographic Information Systems: Concepts, Methodologies, Tools, and Applications: Volume I;1;;;638;657;;10.4018/9781522570332.ch039;10.4018/9781522570332.ch039;https://www.scopus.com/pages/publications/105012567820?origin=resultslist;Book chapter;Final;;Scopus
N;2-s2.0-105012988524;Dhaenens L.;Dhaenens, Laurens (57210273441);57210273441;CONNECTING ART HISTORIES THROUGH MESSY DATA (STRUCTURES): RETHINKING MUSEUM DATABASE INTERFACES FOR (CURATORIAL) RESEARCH;2025;Journal of Science and Technology of the Arts;17;1;;136;155;;10.34632/jsta.2025.17743;10.34632/jsta.2025.17743;https://www.scopus.com/pages/publications/105012988524?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-105013014890;Zhang Z.M., Guo Z., Faloutsos C., Tim Pan J.-Y.;Zhang, Zhongfei Mark (35214034700) | Guo, Zhen (60039198200) | Faloutsos, Christos (7006005166) | Tim Pan, Jia-Yu (60038644300);35214034700 | 60039198200 | 7006005166 | 60038644300;A Highly Scalable and Adaptable Co-Learning Framework on Multimodal Data Mining in a Multimedia Database;2012;Data Mining: Concepts, Methodologies, Tools, and Applications: Volume 1-4;;1;;567;585;;10.4018/978-1-4666-2455-9.ch028;10.4018/978-1-4666-2455-9.ch028;https://www.scopus.com/pages/publications/105013014890?origin=resultslist;Book chapter;Final;;Scopus
N;2-s2.0-105013015176;Rivero D., Dorado J., Rabuñal J.R., Pazos A.;Rivero, Daniel (6603716776) | Dorado, JuliÃ¡n (7004092479) | RabuÃ±al, Juan R. (6603042738) | Pazos, Alejandro (7006526793);6603716776 | 7004092479 | 6603042738 | 7006526793;Database Analysis with ANNs by means of Graph Evolution;2012;Data Mining: Concepts, Methodologies, Tools, and Applications: Volume 1-4;;2;;704;718;;10.4018/978-1-4666-2455-9.ch036;10.4018/978-1-4666-2455-9.ch036;https://www.scopus.com/pages/publications/105013015176?origin=resultslist;Book chapter;Final;;Scopus
