key|ee|title|authors|year|venue
conf/semweb/BaronciniMSSP22|https://ceur-ws.org/Vol-3262/paper5.pdf|Analysing the Evolution of Community-Driven (Sub-)Schemas within Wikidata.|['Sofia Baroncini', 'Margherita Martorana', 'Mario Scrocca', 'Zuzanna Smiech', 'Axel Polleres']|2022|Wikidata@ISWC
conf/vem/LawrenceB21|https://doi.org/10.5753/vem.2021.17209|Assessing the Occurrence of Blocking Operations in Database Schema Evolution: A Case Study.|['Willie Lawrence', 'Eiji Adachi Barbosa']|2021|VEM
conf/tpctc/ConradMKMKS21|https://doi.org/10.1007/978-3-030-94437-7_3|EvoBench: Benchmarking Schema Evolution in NoSQL.|['André Conrad', 'Mark Lukas Möller', 'Tobias Kreiter', 'Jan-Christopher Mair', 'Meike Klettke', 'Uta Störl']|2021|TPCTC
conf/icde/Vassiliadis21|https://doi.org/10.1109/ICDE51399.2021.00008|Profiles of Schema Evolution in Free Open Source Software Projects.|['Panos Vassiliadis']|2021|ICDE
conf/eurosys/LittHH21|https://doi.org/10.1145/3447865.3457963|Cambria: Schema Evolution in Distributed Systems with Edit Lenses.|['Geoffrey Litt', 'Peter van Hardenberg', 'Orion Henry']|2021|PaPoC@EuroSys
conf/er/HillenbrandSS21|https://doi.org/10.1007/978-3-030-89022-3_13|Remaining in Control of the Impact of Schema Evolution in NoSQL Databases.|['Andrea Hillenbrand', 'Stefanie Scherzinger', 'Uta Störl']|2021|ER
conf/bdiot2/BrahmiaB0B21|https://doi.org/10.1007/978-3-031-07969-6_3|Implicit JSON Schema Versioning Triggered by Temporal Updates to JSON-Based Big Data in the τJSchema Framework.|['Zouhaier Brahmia', 'Safa Brahmia', 'Fabio Grandi 0001', 'Rafik Bouaziz']|2021|BDIoT
conf/er/ChillonRM21a|https://doi.org/10.1007/978-3-030-89022-3_15|Towards a Taxonomy of Schema Changes for NoSQL Databases: The Orion Language.|['Alberto Hernández Chillón', 'Diego Sevilla Ruiz', 'Jesús García Molina']|2021|ER
conf/icde/ScherzingerMK21|https://doi.org/10.1109/ICDE51399.2021.00307|DeBinelle: Semantic Patches for Coupled Database-Application Evolution.|['Stefanie Scherzinger', 'Wolfgang Mauerer', 'Haridimos Kondylakis']|2021|ICDE
conf/sigmod/BhattacherjeeLH21|https://doi.org/10.1145/3448016.3452842|BullFrog: Online Schema Evolution via Lazy Evaluation.|['Souvik Bhattacherjee', 'Gang Liao', 'Michael Hicks 0001', 'Daniel J. Abadi']|2021|SIGMOD Conference
conf/er/Suarez-OteroMCT21|https://doi.org/10.1007/978-3-030-88358-4_3|An Integrated Approach for Column-Oriented Database Application Evolution Using Conceptual Models.|['Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya']|2021|ER
conf/kbse/XieY021|https://doi.org/10.1109/ASE51524.2021.9678934|Automated Code Refactoring upon Database-Schema Changes in Web Applications.|['Sophie Xie', 'Junwen Yang', 'Shan Lu 0001']|2021|ASE
conf/bigdataconf/Suarez-OteroMST20|https://doi.org/10.1109/BigData50022.2020.9378228|Maintaining NoSQL Database Quality During Conceptual Model Evolution.|['Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya']|2020|IEEE BigData
conf/iiwas/ChabinEFH20|https://doi.org/10.1145/3428757.3429126|Graph Rewriting Rules for RDF Database Evolution Management.|['Jacques Chabin', 'Cédric Eichler', 'Mírian Halfeld Ferrari', 'Nicolas Hiot']|2020|iiWAS
conf/bigdataconf/MollerKS20|https://doi.org/10.1109/BigData50022.2020.9378278|EvoBench - A Framework for Benchmarking Schema Evolution in NoSQL.|['Mark Lukas Möller', 'Meike Klettke', 'Uta Störl']|2020|IEEE BigData
conf/webist/AkazawaMS20|https://doi.org/10.5220/0010173002920298|Transforming Property Path Query According to Shape Expression Schema Update.|['Goki Akazawa', 'Naoto Matsubara', 'Nobutaka Suzuki']|2020|WEBIST
conf/vldb/Gobert20|https://ceur-ws.org/Vol-2652/paper08.pdf|Schema Evolution in Hybrid Databases Systems.|['Maxime Gobert 0001']|2020|PhD@VLDB
conf/caise/MollerSKS20|https://doi.org/10.1007/978-3-030-58135-0_10|Why It Is Time for Yet Another Schema Evolution Benchmark - Visionary Paper.|['Mark Lukas Möller', 'Stefanie Scherzinger', 'Meike Klettke', 'Uta Störl']|2020|CAiSE Forum
conf/isdfs/ShimmiDKA20|https://doi.org/10.1109/ISDFS49300.2020.9116208|Analysis of iOS SQLite Schema Evolution for Updating Forensic Data Extraction Tools.|['Samiha S. Shimmi', 'Gokila Dorai', 'Umit Karabiyik', 'Sudhir Aggarwal']|2020|ISDFS
conf/wcre/AfonsoSCMCG20|https://doi.org/10.1109/SANER48275.2020.9054796|LESSQL: Dealing with Database Schema Changes in Continuous Deployment.|['Ariel Afonso', 'Altigran S. da Silva', 'Tayana Conte', 'Paulo Martins 0005', 'João M. B. Cavalcanti', 'Alessandro Garcia 0001']|2020|SANER
conf/lwa/AugeMJF020|https://ceur-ws.org/Vol-2738/LWDA2020_paper_19.pdf|Schema Evolution and Reproducibility of Long-term Hydrographic Data Sets at the IOW.|['Tanja Auge', 'Erik Manthey', 'Susanne Jürgensmann', 'Susanne Feistel', 'Andreas Heuer 0001']|2020|LWDA
conf/scam/FinkGC20|https://doi.org/10.1109/SCAM51674.2020.00019|Adapting Queries to Database Schema Changes in Hybrid Polystores.|['Jérôme Fink', 'Maxime Gobert 0001', 'Anthony Cleve']|2020|SCAM
conf/er/ScherzingerS20|https://doi.org/10.1007/978-3-030-62522-1_33|An Empirical Study on the Design and Evolution of NoSQL Database Schemas.|['Stefanie Scherzinger', 'Sebastian Sidortschuck']|2020|ER
conf/dmah-ws/StiemerVSS20|https://doi.org/10.1007/978-3-030-71055-2_4|PolyMigrate: Dynamic Schema Evolution and Data Migration in a Distributed Polystore.|['Alexander Stiemer', 'Marco Vogt 0001', 'Heiko Schuldt', 'Uta Störl']|2020|Poly/DMAH@VLDB
conf/er/DimolikasZV20|https://doi.org/10.1007/978-3-030-62522-1_34|A Study on the Effect of a Table&apos;s Involvement in Foreign Keys to its Schema Evolution.|['Konstantinos Dimolikas', 'Apostolos V. Zarras', 'Panos Vassiliadis']|2020|ER
conf/edbt/StorlKS20|https://doi.org/10.5441/002/edbt.2020.87|NoSQL Schema Evolution and Data Migration: State-of-the-Art and Opportunities.|['Uta Störl', 'Meike Klettke', 'Stefanie Scherzinger']|2020|EDBT
conf/er/BrainingerMS20|https://doi.org/10.1007/978-3-030-65847-2_19|Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.|['Dimitri Braininger', 'Wolfgang Mauerer', 'Stefanie Scherzinger']|2020|ER
conf/edbt/AthinaiouK19|https://ceur-ws.org/Vol-2322/BigVis_9.pdf|VESEL: VisuaL Exploration of Schema Evolution using Provenance Queries.|['Christos Athinaiou', 'Haridimos Kondylakis']|2019|EDBT/ICDT Workshops
conf/seke/OubelliABCL19|https://doi.org/10.18293/SEKE2019-132|Finding conservative schema evolutions by analysing API changes.|['Lynda Ait Oubelli', 'Yamine Aït Ameur', 'Judicaël Bedouet', 'Benoît Chausserie-Lapree', 'Béatrice Larzul']|2019|SEKE
conf/isat/BhroitheHSPHFF19|https://doi.org/10.1007/978-3-030-30440-9_11|A Generic Approach to Schema Evolution in Live Relational Databases.|['Anna O&apos;Faoláin de Bhróithe', 'Fritz Heiden', 'Alena Schemmert', 'Dschialin Phan', 'Lillian Hung', 'Jörn Freiheit', 'Frank Fuchs-Kittowski']|2019|ISAT
conf/er/BonifatiFGHOV19|https://doi.org/10.1007/978-3-030-33223-5_37|Schema Validation and Evolution for Graph Databases.|['Angela Bonifati', 'Peter Furniss', 'Alastair Green', 'Russ Harmer', 'Eugenia Oshurko', 'Hannes Voigt']|2019|ER
conf/cidr/BleifussBKNS19|http://cidrdb.org/cidr2019/papers/p65-bleifuss-cidr19.pdf|DBChEx: Interactive Exploration of Data and Schema Change.|['Tobias Bleifuß', 'Leon Bornemann', 'Dmitri V. Kalashnikov', 'Felix Naumann', 'Divesh Srivastava']|2019|CIDR
conf/icseb/JaimoonS19|https://doi.org/10.1145/3374549.3374579|Impact Analysis of Database Schema Changes on Hibernate Source Code and Test Cases.|['Amornrat Jaimoon', 'Taratip Suwannasart']|2019|ICSEB
conf/ssdbm/SchulerK19|https://doi.org/10.1145/3335783.3335787|A High-level User-oriented Framework for Database Evolution.|['Robert E. Schuler', 'Carl Kesselman']|2019|SSDBM
conf/lwa/MollerKS19|https://ceur-ws.org/Vol-2454/paper_19.pdf|Keeping NoSQL Databases Up to Date - Semantics of Evolution Operations and their Impact on Data Quality.|['Mark Lukas Möller', 'Meike Klettke', 'Uta Störl']|2019|LWDA
conf/icsm/DelplanqueEAA18|https://doi.org/10.1109/ICSME.2018.00073|Relational Database Schema Evolution: An Industrial Case Study.|['Julien Delplanque', 'Anne Etien', 'Nicolas Anquetil', 'Olivier Auverlot']|2018|ICSME
conf/ipaw/Auge018|https://doi.org/10.1007/978-3-319-98379-0_24|Combining Provenance Management and Schema Evolution.|['Tanja Auge', 'Andreas Heuer 0001']|2018|IPAW
conf/www/TanonK18|https://doi.org/10.1145/3184558.3191643|Property Label Stability in Wikidata: Evolution and Convergence of Schemas in Collaborative Knowledge Bases.|['Thomas Pellissier Tanon', 'Lucie-Aimée Kaffee']|2018|WWW
conf/ssdbm/SchulerK18|https://doi.org/10.1145/3221269.3221300|Towards an efficient and effective framework for the evolution of scientific databases.|['Robert E. Schuler', 'Carl Kesselman']|2018|SSDBM
conf/isda/BoukettayaNG18|https://doi.org/10.1007/978-3-030-16660-1_39|Towards the Evolution of Graph Oriented Databases.|['Soumaya Boukettaya', 'Ahlem Nabli', 'Faïez Gargouri']|2018|ISDA
conf/gvd/Moller18|https://ceur-ws.org/Vol-2126/paper2.pdf|Data Evolution and Migration Strategies for NoSQL Databases (Datenevolutions- und Migrationsstrategien in NoSQL-Datenbanken).|['Mark Lukas Möller']|2018|Grundlagen von Datenbanken
conf/data/MohapatraHVLTL18|https://doi.org/10.5220/0006845101970207|Seamless Database Evolution for Cloud Applications.|['Aniket Mohapatra', 'Kai Herrmann 0002', 'Hannes Voigt', 'Simon Lüders', 'Tsvetan Tsokov', 'Wolfgang Lehner']|2018|DATA
conf/gvd/AugeH18|https://ceur-ws.org/Vol-2126/paper17.pdf|Inverses in Research Data Management: Combining Provenance Management, Schema and Data Evolution (Inverse im Forschungsdatenmanagement).|['Tanja Auge', 'Andreas Heuer 0001']|2018|Grundlagen von Datenbanken
conf/er/CaruccioPT18|https://doi.org/10.1007/978-3-030-01391-2_17|Dependency-Based Query/View Synchronization upon Schema Evolutions.|['Loredana Caruccio', 'Giuseppe Polese', 'Genoveffa Tortora']|2018|ER Workshops
conf/sigmod/HerrmannVBRL17|https://doi.org/10.1145/3035918.3064046|Living in Parallel Realities: Co-Existing Schema Versions with a Bidirectional Database Evolution Language.|['Kai Herrmann 0002', 'Hannes Voigt', 'Andreas Behrend', 'Jonas Rausch', 'Wolfgang Lehner']|2017|SIGMOD Conference
conf/caise/VassiliadisZ17|https://doi.org/10.1007/978-3-319-59536-8_21|Survival in Schema Evolution: Putting the Lives of Survivor and Dead Tables in Counterpoint.|['Panos Vassiliadis', 'Apostolos V. Zarras']|2017|CAiSE
conf/er/VassiliadisKZZ17|https://doi.org/10.1007/978-3-319-69904-2_9|Schema Evolution and Foreign Keys: Birth, Eviction, Change and Absence.|['Panos Vassiliadis', 'Michail-Romanos Kolozoff', 'Maria Zerva', 'Apostolos V. Zarras']|2017|ER
conf/icse/JongDC17|https://doi.org/10.1109/ICSE-SEIP.2017.5|Zero-Downtime SQL Database Schema Evolution for Continuous Deployment.|['Michael de Jong', 'Arie van Deursen', 'Anthony Cleve']|2017|ICSE-SEIP
conf/medi/Vassiliadis17|https://doi.org/10.1007/978-3-319-66854-3_2|Schema Evolution and Gravitation to Rigidity: A Tale of Calmness in the Lives of Structured Data.|['Panos Vassiliadis']|2017|MEDI
conf/btw/HauboldSSD17|https://dl.gi.de/handle/20.500.12116/664|ControVol Flex: Flexible Schema Evolution for NoSQL Application Development.|['Florian Haubold', 'Johannes Schildgen', 'Stefanie Scherzinger', 'Stefan Deßloch']|2017|BTW
conf/cidr/SpothACGGGHKLLN17|http://cidrdb.org/cidr2017/papers/p84-spoth-cidr17.pdf|Adaptive Schema Databases.|['William Spoth', 'Bahareh Sadat Arab', 'Eric S. Chan', 'Dieter Gawlick', 'Adel Ghoneimy', 'Boris Glavic', 'Beda Christoph Hammerschmidt', 'Oliver Kennedy', 'Seokki Lee', 'Zhen Hua Liu', 'Xing Niu 0002', 'Ying Yang 0005']|2017|CIDR
conf/wcre/MeuriceC17|https://doi.org/10.1109/SANER.2017.7884653|Supporting schema evolution in schema-less NoSQL data stores.|['Loup Meurice', 'Anthony Cleve']|2017|SANER
conf/bigdataconf/KlettkeSSS16|https://doi.org/10.1109/BigData.2016.7840924|NoSQL schema evolution and big data migration at scale.|['Meike Klettke', 'Uta Störl', 'Manuel Shenavai', 'Stefanie Scherzinger']|2016|IEEE BigData
conf/qrs/MeuriceNC16|https://doi.org/10.1109/QRS.2016.38|Detecting and Preventing Program Inconsistencies under Database Schema Evolution.|['Loup Meurice', 'Csaba Nagy 0001', 'Anthony Cleve']|2016|QRS
conf/issta/ScherzingerSWKS16|https://doi.org/10.1145/2945408.2945416|Datalution: a tool for continuous schema evolution in NoSQL-backed web applications.|['Stefanie Scherzinger', 'Stephanie Sombach', 'Katharina Wiech', 'Meike Klettke', 'Uta Störl']|2016|QUDOS@ISSTA
conf/icsm/Al-BarakB16|https://doi.org/10.1109/MTD.2016.9|Database Design Debts through Examining Schema Evolution.|['Mashel Al-Barak', 'Rami Bahsoon']|2016|MTD@ICSME
conf/dexa/GuedesBM16|https://doi.org/10.1007/978-3-319-44403-1_22|Evolutionary Database Design: Enhancing Data Abstraction Through Database Modularization to Achieve Graceful Schema Evolution.|['Gustavo Bartz Guedes', 'Gisele Busichia Baioco', 'Regina Lúcia de Oliveira Moraes']|2016|DEXA
conf/icdim/BrahmiaGB16|https://doi.org/10.1109/ICDIM.2016.7829765|Changes to XML namespaces in XML schemas and their effects on associated XML documents under schema versioning.|['Zouhaier Brahmia', 'Fabio Grandi 0001', 'Rafik Bouaziz']|2016|ICDIM
conf/foiks/Ravve16|https://doi.org/10.1007/978-3-319-30024-5_11|Maintenance of Queries Under Database Changes: A Unified Logic Based Approach.|['Elena V. Ravve']|2016|FoIKS
conf/bigdataconf/StonebrakerDB16|https://doi.org/10.1109/BigData.2016.7840584|Database decay and how to avoid it.|['Michael Stonebraker', 'Dong Deng 0001', 'Michael L. Brodie']|2016|IEEE BigData
conf/adbis/HerrmannVBL15|https://doi.org/10.1007/978-3-319-23135-8_5|CoDEL - A Relationally Complete Language for Database Evolution.|['Kai Herrmann 0002', 'Hannes Voigt', 'Andreas Behrend', 'Wolfgang Lehner']|2015|ADBIS
conf/data/HerrmannRVDFSL15|https://doi.org/10.5220/0005484101250133|Database Evolution for Software Product Lines.|['Kai Herrmann 0002', 'Jan Reimann 0002', 'Hannes Voigt', 'Birgit Demuth', 'Stefan Fromm', 'Robert Stelzmann', 'Wolfgang Lehner']|2015|DATA
conf/adc/HaiTTL15|https://doi.org/10.1007/978-3-319-19548-3_28|SCIT: A Schema Change Interpretation Tool for Dynamic-Schema Data Warehouses.|['Rihan Hai 0001', 'Vasileios Theodorou', 'Maik Thiele', 'Wolfgang Lehner']|2015|ADC
conf/doceng/WuS15|https://doi.org/10.1145/2682571.2797086|Detecting XSLT Rules Affected by Schema Evolution.|['Yang Wu', 'Nobutaka Suzuki']|2015|DocEng
conf/models/Gotz015|https://ceur-ws.org/Vol-1474/MRT15_paper_10.pdf|Models@run.time for Object-Relational Mapping Supporting Schema Evolution.|['Sebastian Götz', 'Thomas Kühn 0001']|2015|Models@run.time
conf/icse/JongD15|https://doi.org/10.1109/RELENG.2015.14|Continuous Deployment and Schema Evolution in SQL Databases.|['Michael de Jong', 'Arie van Deursen']|2015|RELENG@ICSE
conf/icde/ScherzingerCA15|https://doi.org/10.1109/ICDE.2015.7113402|ControVol: A framework for controlled schema evolution in NoSQL application development.|['Stefanie Scherzinger', 'Thomas Cerqueus', 'Eduardo Cunha de Almeida']|2015|ICDE
conf/ebiss/ManousisVZP15|https://doi.org/10.1007/978-3-319-39243-1_1|Schema Evolution for Databases and Data Warehouses.|['Petros Manousis', 'Panos Vassiliadis', 'Apostolos V. Zarras', 'George Papastefanatos']|2015|eBISS
conf/btw/ScherzingerKS15|https://dl.gi.de/handle/20.500.12116/2440|Cleager: Eager Schema Evolution in NoSQL Document Stores.|['Stefanie Scherzinger', 'Meike Klettke', 'Uta Störl']|2015|BTW
conf/time/BrahmiaGOB14|https://doi.org/10.1109/TIME.2014.14|High-Level Operations for Creation and Maintenance of Temporal and Conventional Schema in the tauXSchema Framework.|['Zouhaier Brahmia', 'Fabio Grandi 0001', 'Barbara Oliboni', 'Rafik Bouaziz']|2014|TIME
conf/ic3k/AzaiezA14|https://doi.org/10.5220/0005158304280435|How to Guarantee Analysis Results Coherence after Data Warehouse Schema Changes Propagation towards Data Marts?.|['Noura Azaiez', 'Jalel Akaichi']|2014|KEOD
conf/adbis/JannaschkJT14|https://doi.org/10.1007/978-3-319-10518-5_21|Technologies for Databases Change Management.|['Kai Jannaschk', 'Hannu Jaakkola', 'Bernhard Thalheim']|2014|ADBIS
conf/csmr/MeuriceC14|https://doi.org/10.1109/CSMR-WCRE.2014.6747219|DAHLIA: A visual analyzer of database schema evolution.|['Loup Meurice', 'Anthony Cleve']|2014|CSMR-WCRE
conf/dexa/AmaviCAR14|https://doi.org/10.1007/978-3-319-10073-9_24|A ToolBox for Conservative XML Schema Evolution and Document Adaptation.|['Joshua Amavi', 'Jacques Chabin', 'Mirian Halfeld Ferrari Alves', 'Pierre Réty']|2014|DEXA
conf/emisa/ChiaoKR14|https://dl.gi.de/handle/20.500.12116/3040|Towards schema evolution in object-aware process management systems.|['Carolina Ming Chiao', 'Vera Künzle', 'Manfred Reichert']|2014|EMISA
conf/caise/SkoulisVZ14|https://doi.org/10.1007/978-3-319-07881-6_26|Open-Source Databases: Within, Outside, or Beyond Lehman&apos;s Laws of Software Evolution?|['Ioannis Skoulis', 'Panos Vassiliadis', 'Apostolos V. Zarras']|2014|CAiSE
conf/edbt/BeineHWC14|https://ceur-ws.org/Vol-1133/paper-16.pdf|Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.|['Mathieu Beine', 'Nicolas Hames', 'Jens H. Weber', 'Anthony Cleve']|2014|EDBT/ICDT Workshops
conf/csmr/GoeminneDM14|https://doi.org/10.1109/CSMR-WCRE.2014.6747193|Co-evolving code-related and database-related changes in a data-intensive software system.|['Mathieu Goeminne', 'Alexandre Decan', 'Tom Mens']|2014|CSMR-WCRE
conf/adbis/Subotic14|https://doi.org/10.1007/978-3-319-10518-5_26|Data Warehouse Schema Evolution Perspectives.|['Danijela Subotic']|2014|ADBIS
conf/gvd/NosingerKH14|https://ceur-ws.org/Vol-1313/paper_3.pdf|Optimization of Sequences of XML Schema Modifications - The ROfEL Approach.|['Thomas Nösinger', 'Meike Klettke', 'Andreas Heuer 0001']|2014|Grundlagen von Datenbanken
conf/worldcist/PereiraP14|https://doi.org/10.1007/978-3-319-05948-8_3|Towards a Flexible and Transparent Database Evolution.|['Rui Humberto R. Pereira', 'J. Baltasar García Pérez-Schofield']|2014|WorldCIST
conf/comad/NeamtiuBULB13|http://comad.in/comad2013/pdfs/neamtiu.pdf|Improving Cloud Availability with On-the-fly Schema Updates.|['Iulian Neamtiu', 'Jonathan Bardin', 'Md. Reaz Uddin', 'Dien-Yen Lin', 'Pamela Bhattacharya']|2013|COMAD
conf/icdim/CastelltortL13|https://doi.org/10.1109/ICDIM.2013.6694022|Representing history in graph-oriented NoSQL databases: A versioning system.|['Arnaud Castelltort', 'Anne Laurent']|2013|ICDIM
conf/icsm/GobertMCW13|https://doi.org/10.1109/ICSM.2013.75|Understanding Schema Evolution as a Basis for Database Reengineering.|['Maxime Gobert 0001', 'Jerome Maes', 'Anthony Cleve', 'Jens H. Weber']|2013|ICSM
conf/idc/ChytilPNH13|https://doi.org/10.1007/978-3-319-01571-2_2|Evolution of a Relational Schema and Its Impact on SQL Queries.|['Martin Chytil', 'Marek Polák', 'Martin Necaský', 'Irena Holubová']|2013|IDC
conf/iiwas/NecaskyKMH13|https://doi.org/10.1145/2539150.2539189|Methodology for Design and Evolution of XML Schemas using Conceptual Modeling.|['Martin Necaský', 'Jakub Klímek', 'Jakub Malý', 'Irena Holubová']|2013|iiWAS
